level,power,date
30,764.5,2023-07-03
30,685.7,2023-07-03
30,632.7,2023-07-03
30,612.3,2023-07-03
30,560.6,2023-07-03
30,554.4,2023-07-03
30,538.6,2023-07-03
30,528.3,2023-07-03
30,519.2,2023-07-03
30,514.4,2023-07-03
30,502.3,2023-07-03
30,491.6,2023-07-03
29,486.2,2023-07-03
29,481.7,2023-07-03
30,470.5,2023-07-03
28,459.8,2023-07-03
29,451.1,2023-07-03
28,443.7,2023-07-03
30,442.2,2023-07-03
30,442.0,2023-07-03
27,428.1,2023-07-03
29,416.1,2023-07-03
28,414.0,2023-07-03
27,410.9,2023-07-03
27,410.1,2023-07-03
29,408.5,2023-07-03
26,401.2,2023-07-03
30,398.1,2023-07-03
29,394.7,2023-07-03
29,388.2,2023-07-03
30,387.7,2023-07-03
27,369.8,2023-07-03
29,369.7,2023-07-03
30,369.5,2023-07-03
28,367.3,2023-07-03
26,356.7,2023-07-03
28,353.9,2023-07-03
28,340.8,2023-07-03
28,330.6,2023-07-03
29,329.9,2023-07-03
29,327.4,2023-07-03
29,327.3,2023-07-03
25,324.1,2023-07-03
29,315.8,2023-07-03
28,296.1,2023-07-03
26,282.5,2023-07-03
28,268.3,2023-07-03
26,240.4,2023-07-03
28,231.7,2023-07-03
25,218.1,2023-07-03
25,163.4,2023-07-03
24,134.2,2023-07-03
24,131.2,2023-07-03
