level,power,date
30,725.2,2023-07-03
30,677.1,2023-07-03
30,629.8,2023-07-03
30,553.6,2023-07-03
30,527.3,2023-07-03
30,517.3,2023-07-03
30,516.2,2023-07-03
30,514.4,2023-07-03
30,514.0,2023-07-03
30,507.3,2023-07-03
30,504.7,2023-07-03
30,487.1,2023-07-03
30,477.1,2023-07-03
27,467.2,2023-07-03
28,465.5,2023-07-03
28,463.7,2023-07-03
30,463.3,2023-07-03
29,435.6,2023-07-03
30,423.1,2023-07-03
28,417.5,2023-07-03
28,409.0,2023-07-03
28,384.6,2023-07-03
27,367.3,2023-07-03
28,360.4,2023-07-03
26,360.0,2023-07-03
28,353.8,2023-07-03
26,342.3,2023-07-03
26,337.1,2023-07-03
27,331.5,2023-07-03
27,325.0,2023-07-03
28,320.5,2023-07-03
29,299.6,2023-07-03
27,297.8,2023-07-03
27,296.6,2023-07-03
27,292.9,2023-07-03
27,287.9,2023-07-03
28,274.3,2023-07-03
28,271.6,2023-07-03
24,218.5,2023-07-03
27,217.8,2023-07-03
22,203.4,2023-07-03
24,186.4,2023-07-03
26,155.3,2023-07-03
20,95.9,2023-07-03
