,level,power,date
0,29,414.1,2023-06-02
1,29,385.6,2023-06-02
2,29,367.5,2023-06-02
3,29,428.8,2023-06-02
4,25,331.0,2023-06-02
5,25,349.3,2023-06-02
6,25,332.7,2023-06-02
7,23,286.1,2023-06-02
8,23,204.3,2023-06-02
9,27,372.6,2023-06-02
10,25,296.8,2023-06-02
11,27,395.1,2023-06-02
12,25,346.1,2023-06-02
13,27,339.3,2023-06-02
14,24,255.9,2023-06-02
15,23,207.8,2023-06-02
16,22,143.9,2023-06-02
17,24,204.0,2023-06-02
18,22,187.3,2023-06-02
19,26,161.2,2023-06-02
20,23,233.2,2023-06-02
21,25,356.6,2023-06-02
22,26,290.7,2023-06-02
23,25,253.5,2023-06-02
24,27,375.8,2023-06-02
25,27,290.6,2023-06-02
26,28,378.7,2023-06-02
27,27,352.7,2023-06-02
28,28,434.9,2023-06-02
29,25,235.4,2023-06-02
30,23,197.5,2023-06-02
31,24,245.5,2023-06-02
32,25,313.8,2023-06-02
33,22,167.4,2023-06-02
34,26,339.0,2023-06-02
35,24,167.4,2023-06-02
36,19,108.4,2023-06-02
37,22,161.8,2023-06-02
38,22,128.1,2023-06-02
39,21,112.7,2023-06-02
40,26,258.9,2023-06-02
41,22,168.5,2023-06-02
42,20,62.5,2023-06-02
43,22,158.1,2023-06-02
44,22,75.4,2023-06-02
45,22,126.3,2023-06-02
46,18,48.3,2023-06-02
47,20,115.9,2023-06-02
48,21,117.1,2023-06-02
49,21,142.2,2023-06-02
50,24,169.8,2023-06-02
