level,power,date
30,1059.0,2023-06-16
30,761.4,2023-06-16
30,733.1,2023-06-16
30,723.9,2023-06-16
30,674.8,2023-06-16
30,673.0,2023-06-16
30,665.2,2023-06-16
30,662.0,2023-06-16
30,660.5,2023-06-16
30,659.0,2023-06-16
30,654.6,2023-06-16
30,649.9,2023-06-16
30,649.7,2023-06-16
30,623.2,2023-06-16
30,617.9,2023-06-16
30,615.0,2023-06-16
30,609.3,2023-06-16
30,608.2,2023-06-16
30,606.2,2023-06-16
30,604.9,2023-06-16
30,603.6,2023-06-16
30,602.4,2023-06-16
30,601.4,2023-06-16
30,597.7,2023-06-16
30,582.3,2023-06-16
30,580.7,2023-06-16
30,556.2,2023-06-16
30,551.2,2023-06-16
30,541.9,2023-06-16
30,532.0,2023-06-16
30,530.7,2023-06-16
30,526.3,2023-06-16
30,523.2,2023-06-16
30,512.1,2023-06-16
30,497.8,2023-06-16
30,492.5,2023-06-16
28,480.4,2023-06-16
30,480.2,2023-06-16
30,478.8,2023-06-16
26,471.7,2023-06-16
30,459.3,2023-06-16
30,448.2,2023-06-16
30,446.1,2023-06-16
29,442.6,2023-06-16
29,438.9,2023-06-16
30,436.5,2023-06-16
29,434.1,2023-06-16
29,429.9,2023-06-16
30,420.3,2023-06-16
28,413.8,2023-06-16
30,413.5,2023-06-16
30,407.6,2023-06-16
28,405.2,2023-06-16
27,403.1,2023-06-16
29,399.3,2023-06-16
30,395.7,2023-06-16
29,388.9,2023-06-16
29,338.2,2023-06-16
29,338.0,2023-06-16
29,317.8,2023-06-16
29,306.7,2023-06-16
29,296.6,2023-06-16
