level,power,date
30,602.0,2023-07-03
30,598.8,2023-07-03
30,561.9,2023-07-03
30,560.0,2023-07-03
30,555.8,2023-07-03
29,532.9,2023-07-03
30,529.7,2023-07-03
29,511.9,2023-07-03
30,498.8,2023-07-03
30,487.4,2023-07-03
30,472.3,2023-07-03
28,464.4,2023-07-03
30,438.0,2023-07-03
29,415.0,2023-07-03
30,390.9,2023-07-03
29,378.4,2023-07-03
27,374.7,2023-07-03
30,359.7,2023-07-03
27,359.1,2023-07-03
29,351.2,2023-07-03
28,351.1,2023-07-03
28,323.9,2023-07-03
25,303.9,2023-07-03
27,268.8,2023-07-03
25,267.3,2023-07-03
23,258.7,2023-07-03
27,249.8,2023-07-03
28,244.7,2023-07-03
23,232.5,2023-07-03
25,225.8,2023-07-03
25,204.8,2023-07-03
24,186.9,2023-07-03
23,181.0,2023-07-03
