level,power,date
31,967.3,2023-09-11
31,826.2,2023-09-11
30,742.2,2023-09-11
30,740.1,2023-09-11
30,727.9,2023-09-11
31,709.8,2023-09-11
30,701.5,2023-09-11
31,699.0,2023-09-11
30,693.3,2023-09-11
30,679.2,2023-09-11
31,669.2,2023-09-11
30,650.9,2023-09-11
30,646.2,2023-09-11
31,640.6,2023-09-11
30,629.7,2023-09-11
31,628.1,2023-09-11
30,607.3,2023-09-11
30,602.6,2023-09-11
30,598.4,2023-09-11
30,594.4,2023-09-11
30,590.9,2023-09-11
30,585.5,2023-09-11
30,577.3,2023-09-11
30,558.1,2023-09-11
30,552.0,2023-09-11
30,545.7,2023-09-11
30,532.5,2023-09-11
30,527.6,2023-09-11
30,524.7,2023-09-11
30,503.5,2023-09-11
30,498.9,2023-09-11
30,489.7,2023-09-11
30,482.0,2023-09-11
30,439.4,2023-09-11
30,438.4,2023-09-11
30,406.6,2023-09-11
29,370.8,2023-09-11
29,367.4,2023-09-11
