level,power,date
30,565.6,2023-06-09
30,544.9,2023-06-09
30,518.9,2023-06-09
30,506.8,2023-06-09
30,496.8,2023-06-09
30,449.6,2023-06-09
28,447.2,2023-06-09
29,438.9,2023-06-09
29,423.3,2023-06-09
27,418.7,2023-06-09
27,415.0,2023-06-09
29,413.7,2023-06-09
28,394.2,2023-06-09
27,387.8,2023-06-09
30,381.6,2023-06-09
29,380.7,2023-06-09
27,377.4,2023-06-09
27,375.6,2023-06-09
29,371.2,2023-06-09
28,371.1,2023-06-09
28,368.4,2023-06-09
27,362.1,2023-06-09
28,361.3,2023-06-09
28,360.8,2023-06-09
27,358.5,2023-06-09
29,355.0,2023-06-09
25,350.2,2023-06-09
27,346.5,2023-06-09
26,343.1,2023-06-09
27,341.1,2023-06-09
27,337.9,2023-06-09
25,336.9,2023-06-09
29,336.9,2023-06-09
27,335.6,2023-06-09
25,335.6,2023-06-09
26,330.7,2023-06-09
27,324.2,2023-06-09
26,322.8,2023-06-09
25,318.2,2023-06-09
25,312.3,2023-06-09
26,311.2,2023-06-09
28,308.7,2023-06-09
27,308.4,2023-06-09
27,307.1,2023-06-09
26,307.0,2023-06-09
26,304.0,2023-06-09
28,285.8,2023-06-09
24,282.4,2023-06-09
27,268.1,2023-06-09
27,263.3,2023-06-09
24,259.7,2023-06-09
23,259.2,2023-06-09
25,241.8,2023-06-09
26,241.7,2023-06-09
26,229.2,2023-06-09
23,225.3,2023-06-09
26,203.9,2023-06-09
26,199.5,2023-06-09
23,179.9,2023-06-09
25,175.3,2023-06-09
22,166.4,2023-06-09
25,151.9,2023-06-09
12,22.5,2023-06-09
