level,power,date
30,895.0,2023-07-03
30,862.1,2023-07-03
30,773.9,2023-07-03
30,766.0,2023-07-03
30,764.6,2023-07-03
30,744.6,2023-07-03
30,738.1,2023-07-03
30,734.3,2023-07-03
30,732.9,2023-07-03
30,721.8,2023-07-03
30,712.3,2023-07-03
30,700.3,2023-07-03
30,698.8,2023-07-03
30,691.7,2023-07-03
30,685.9,2023-07-03
30,680.3,2023-07-03
30,676.0,2023-07-03
30,668.9,2023-07-03
30,661.1,2023-07-03
30,636.8,2023-07-03
30,629.7,2023-07-03
30,625.3,2023-07-03
30,620.7,2023-07-03
30,616.7,2023-07-03
30,614.6,2023-07-03
30,612.4,2023-07-03
30,609.8,2023-07-03
30,608.3,2023-07-03
30,595.5,2023-07-03
30,590.3,2023-07-03
30,580.1,2023-07-03
30,578.0,2023-07-03
30,577.9,2023-07-03
30,574.6,2023-07-03
30,572.3,2023-07-03
30,560.3,2023-07-03
30,557.1,2023-07-03
30,538.4,2023-07-03
30,523.0,2023-07-03
30,500.2,2023-07-03
30,489.8,2023-07-03
29,488.2,2023-07-03
30,486.4,2023-07-03
30,484.1,2023-07-03
30,480.6,2023-07-03
30,479.0,2023-07-03
30,477.0,2023-07-03
29,464.6,2023-07-03
30,463.1,2023-07-03
30,462.7,2023-07-03
30,457.6,2023-07-03
29,455.5,2023-07-03
30,450.3,2023-07-03
27,444.6,2023-07-03
30,428.5,2023-07-03
30,426.1,2023-07-03
30,424.5,2023-07-03
30,422.8,2023-07-03
30,421.4,2023-07-03
30,413.9,2023-07-03
29,410.3,2023-07-03
28,385.6,2023-07-03
30,383.9,2023-07-03
29,370.7,2023-07-03
29,362.8,2023-07-03
26,344.3,2023-07-03
27,332.7,2023-07-03
