level,power,date
30,669.7,2023-07-03
30,618.9,2023-07-03
30,613.4,2023-07-03
30,595.5,2023-07-03
30,595.1,2023-07-03
30,589.3,2023-07-03
30,581.0,2023-07-03
30,547.4,2023-07-03
30,513.7,2023-07-03
30,508.6,2023-07-03
30,492.4,2023-07-03
30,491.8,2023-07-03
30,481.6,2023-07-03
30,476.3,2023-07-03
30,476.0,2023-07-03
28,475.9,2023-07-03
30,474.0,2023-07-03
29,473.9,2023-07-03
30,462.3,2023-07-03
29,461.4,2023-07-03
27,455.4,2023-07-03
29,453.8,2023-07-03
29,433.6,2023-07-03
30,425.5,2023-07-03
30,407.4,2023-07-03
30,404.4,2023-07-03
28,401.9,2023-07-03
30,401.1,2023-07-03
29,399.1,2023-07-03
28,394.7,2023-07-03
29,387.6,2023-07-03
28,379.6,2023-07-03
27,377.3,2023-07-03
27,368.4,2023-07-03
29,367.5,2023-07-03
27,366.7,2023-07-03
28,365.2,2023-07-03
30,359.3,2023-07-03
27,343.5,2023-07-03
28,339.9,2023-07-03
27,336.4,2023-07-03
25,328.0,2023-07-03
25,323.4,2023-07-03
27,318.7,2023-07-03
26,317.8,2023-07-03
26,313.6,2023-07-03
27,308.0,2023-07-03
29,307.3,2023-07-03
26,306.6,2023-07-03
26,303.3,2023-07-03
28,281.2,2023-07-03
29,270.5,2023-07-03
28,266.8,2023-07-03
27,256.9,2023-07-03
28,255.1,2023-07-03
26,237.8,2023-07-03
25,205.0,2023-07-03
25,149.3,2023-07-03
