level,power,date
30,663.2,2023-06-09
30,590.8,2023-06-09
30,567.5,2023-06-09
30,553.1,2023-06-09
30,548.9,2023-06-09
30,547.8,2023-06-09
30,543.3,2023-06-09
30,518.8,2023-06-09
30,511.4,2023-06-09
30,504.1,2023-06-09
30,496.9,2023-06-09
28,496.3,2023-06-09
30,470.9,2023-06-09
30,470.2,2023-06-09
27,469.4,2023-06-09
30,465.6,2023-06-09
30,464.9,2023-06-09
29,464.8,2023-06-09
30,462.2,2023-06-09
30,444.4,2023-06-09
30,441.6,2023-06-09
29,438.4,2023-06-09
29,438.2,2023-06-09
29,437.2,2023-06-09
30,433.4,2023-06-09
28,427.5,2023-06-09
28,423.7,2023-06-09
29,423.0,2023-06-09
28,418.8,2023-06-09
27,409.0,2023-06-09
30,406.1,2023-06-09
29,402.6,2023-06-09
27,394.3,2023-06-09
25,386.1,2023-06-09
29,379.4,2023-06-09
30,378.3,2023-06-09
25,373.9,2023-06-09
28,373.2,2023-06-09
26,364.7,2023-06-09
25,364.6,2023-06-09
28,360.3,2023-06-09
28,359.4,2023-06-09
27,355.1,2023-06-09
26,344.4,2023-06-09
27,334.1,2023-06-09
28,330.4,2023-06-09
29,327.4,2023-06-09
27,321.6,2023-06-09
27,319.1,2023-06-09
29,312.8,2023-06-09
28,306.6,2023-06-09
26,281.4,2023-06-09
26,268.1,2023-06-09
24,241.6,2023-06-09
24,228.9,2023-06-09
24,227.2,2023-06-09
27,205.5,2023-06-09
26,196.6,2023-06-09
25,180.4,2023-06-09
25,170.5,2023-06-09
22,151.8,2023-06-09
22,132.2,2023-06-09
18,43.2,2023-06-09
