level,power,date
32,863.0,2023-09-11
32,806.7,2023-09-11
31,800.4,2023-09-11
32,800.1,2023-09-11
30,783.9,2023-09-11
31,776.7,2023-09-11
32,764.5,2023-09-11
31,740.5,2023-09-11
31,733.7,2023-09-11
31,725.7,2023-09-11
30,725.2,2023-09-11
30,720.1,2023-09-11
31,719.6,2023-09-11
31,718.5,2023-09-11
31,710.4,2023-09-11
31,707.3,2023-09-11
30,691.9,2023-09-11
31,689.8,2023-09-11
30,688.9,2023-09-11
31,677.4,2023-09-11
31,677.0,2023-09-11
31,674.9,2023-09-11
31,673.2,2023-09-11
31,670.6,2023-09-11
30,665.8,2023-09-11
30,653.7,2023-09-11
30,647.5,2023-09-11
30,639.9,2023-09-11
30,633.9,2023-09-11
31,633.4,2023-09-11
30,629.9,2023-09-11
30,620.6,2023-09-11
30,619.4,2023-09-11
31,617.4,2023-09-11
31,612.4,2023-09-11
30,603.3,2023-09-11
30,598.2,2023-09-11
30,596.3,2023-09-11
30,595.6,2023-09-11
30,595.0,2023-09-11
31,594.4,2023-09-11
31,590.6,2023-09-11
30,590.4,2023-09-11
30,588.9,2023-09-11
30,584.7,2023-09-11
30,553.9,2023-09-11
30,552.5,2023-09-11
30,550.8,2023-09-11
31,546.0,2023-09-11
30,544.4,2023-09-11
30,532.1,2023-09-11
30,529.1,2023-09-11
30,528.9,2023-09-11
30,522.8,2023-09-11
31,519.5,2023-09-11
30,519.5,2023-09-11
30,507.8,2023-09-11
29,495.5,2023-09-11
31,490.6,2023-09-11
30,459.7,2023-09-11
29,452.3,2023-09-11
29,438.8,2023-09-11
30,434.7,2023-09-11
29,422.6,2023-09-11
29,421.6,2023-09-11
30,414.8,2023-09-11
29,392.0,2023-09-11
29,281.2,2023-09-11
