level,power,date
32,844.7,2023-10-08
31,828.2,2023-10-08
32,782.3,2023-10-08
30,754.7,2023-10-08
32,749.2,2023-10-08
32,745.1,2023-10-08
32,735.1,2023-10-08
32,728.5,2023-10-08
32,713.4,2023-10-08
32,705.4,2023-10-08
31,701.4,2023-10-08
30,625.9,2023-10-08
31,620.3,2023-10-08
28,620.1,2023-10-08
30,612.5,2023-10-08
30,585.8,2023-10-08
30,584.4,2023-10-08
31,578.9,2023-10-08
29,568.5,2023-10-08
30,568.3,2023-10-08
30,567.8,2023-10-08
30,566.7,2023-10-08
30,560.3,2023-10-08
30,537.9,2023-10-08
30,488.5,2023-10-08
30,485.2,2023-10-08
30,468.2,2023-10-08
28,444.2,2023-10-08
28,435.3,2023-10-08
30,431.4,2023-10-08
30,420.2,2023-10-08
30,418.0,2023-10-08
30,413.6,2023-10-08
29,401.8,2023-10-08
29,392.0,2023-10-08
30,391.7,2023-10-08
29,378.9,2023-10-08
27,366.6,2023-10-08
28,351.7,2023-10-08
28,348.3,2023-10-08
29,338.2,2023-10-08
27,337.6,2023-10-08
25,329.1,2023-10-08
29,328.2,2023-10-08
28,313.7,2023-10-08
24,274.1,2023-10-08
28,256.5,2023-10-08
25,252.8,2023-10-08
24,250.1,2023-10-08
25,234.7,2023-10-08
28,234.3,2023-10-08
26,228.4,2023-10-08
