level,power,date
30,785.9,2023-06-16
30,781.5,2023-06-16
30,763.5,2023-06-16
30,734.6,2023-06-16
30,708.5,2023-06-16
30,703.5,2023-06-16
30,691.6,2023-06-16
30,659.3,2023-06-16
30,655.7,2023-06-16
30,648.6,2023-06-16
30,648.1,2023-06-16
30,647.3,2023-06-16
30,643.1,2023-06-16
30,635.2,2023-06-16
30,610.5,2023-06-16
30,609.6,2023-06-16
30,605.2,2023-06-16
30,581.6,2023-06-16
30,581.2,2023-06-16
30,579.2,2023-06-16
30,578.9,2023-06-16
30,571.5,2023-06-16
30,568.5,2023-06-16
30,562.1,2023-06-16
30,561.4,2023-06-16
30,555.7,2023-06-16
30,546.8,2023-06-16
30,543.8,2023-06-16
30,541.8,2023-06-16
30,532.6,2023-06-16
30,528.1,2023-06-16
30,528.0,2023-06-16
30,524.6,2023-06-16
30,514.7,2023-06-16
30,514.2,2023-06-16
30,514.0,2023-06-16
29,505.6,2023-06-16
30,501.0,2023-06-16
30,500.4,2023-06-16
30,496.7,2023-06-16
30,484.5,2023-06-16
30,483.7,2023-06-16
30,469.5,2023-06-16
30,461.4,2023-06-16
29,447.6,2023-06-16
28,436.7,2023-06-16
30,435.9,2023-06-16
29,428.5,2023-06-16
29,426.9,2023-06-16
29,417.4,2023-06-16
27,414.9,2023-06-16
30,413.4,2023-06-16
28,409.6,2023-06-16
30,406.7,2023-06-16
29,403.1,2023-06-16
27,398.2,2023-06-16
28,370.0,2023-06-16
29,367.7,2023-06-16
30,360.1,2023-06-16
30,356.3,2023-06-16
30,354.0,2023-06-16
28,345.8,2023-06-16
26,308.5,2023-06-16
27,301.2,2023-06-16
26,298.0,2023-06-16
28,226.1,2023-06-16
23,186.5,2023-06-16
18,51.8,2023-06-16
