level,power,date
30,753.8,2023-06-26
30,745.1,2023-06-26
30,731.8,2023-06-26
30,676.1,2023-06-26
30,652.4,2023-06-26
30,648.4,2023-06-26
30,639.9,2023-06-26
30,631.0,2023-06-26
30,626.4,2023-06-26
30,615.5,2023-06-26
30,614.5,2023-06-26
30,604.7,2023-06-26
30,595.2,2023-06-26
30,587.0,2023-06-26
30,586.8,2023-06-26
30,585.7,2023-06-26
30,583.6,2023-06-26
30,573.3,2023-06-26
30,566.5,2023-06-26
30,559.3,2023-06-26
30,557.6,2023-06-26
30,556.8,2023-06-26
30,556.6,2023-06-26
30,544.4,2023-06-26
30,537.5,2023-06-26
30,528.7,2023-06-26
30,507.3,2023-06-26
30,506.6,2023-06-26
29,505.7,2023-06-26
29,504.6,2023-06-26
30,500.3,2023-06-26
29,489.4,2023-06-26
28,480.7,2023-06-26
30,471.8,2023-06-26
30,471.2,2023-06-26
30,466.4,2023-06-26
29,464.5,2023-06-26
29,464.2,2023-06-26
30,462.9,2023-06-26
30,461.8,2023-06-26
30,458.1,2023-06-26
30,444.1,2023-06-26
27,422.8,2023-06-26
30,417.7,2023-06-26
29,416.2,2023-06-26
30,410.9,2023-06-26
27,410.0,2023-06-26
27,402.6,2023-06-26
28,398.0,2023-06-26
30,392.1,2023-06-26
27,373.0,2023-06-26
29,367.6,2023-06-26
28,353.2,2023-06-26
28,349.7,2023-06-26
29,339.0,2023-06-26
27,334.6,2023-06-26
29,329.9,2023-06-26
25,328.5,2023-06-26
27,327.2,2023-06-26
27,315.2,2023-06-26
28,310.8,2023-06-26
27,296.8,2023-06-26
28,262.4,2023-06-26
24,260.5,2023-06-26
25,226.9,2023-06-26
25,223.3,2023-06-26
24,169.9,2023-06-26
22,153.6,2023-06-26
