level,power,date
30,533.9,2023-06-21
30,516.1,2023-06-21
28,462.3,2023-06-21
30,462.1,2023-06-21
30,452.9,2023-06-21
30,433.3,2023-06-21
28,433.1,2023-06-21
27,428.5,2023-06-21
30,425.6,2023-06-21
27,401.1,2023-06-21
28,400.3,2023-06-21
27,396.7,2023-06-21
28,393.2,2023-06-21
28,383.8,2023-06-21
27,383.5,2023-06-21
30,376.2,2023-06-21
26,374.4,2023-06-21
23,348.9,2023-06-21
27,345.3,2023-06-21
26,326.6,2023-06-21
25,318.0,2023-06-21
28,315.8,2023-06-21
25,315.2,2023-06-21
24,293.9,2023-06-21
25,289.9,2023-06-21
25,256.4,2023-06-21
26,247.5,2023-06-21
24,198.4,2023-06-21
23,158.2,2023-06-21
21,155.7,2023-06-21
23,147.6,2023-06-21
24,143.9,2023-06-21
20,119.7,2023-06-21
22,107.8,2023-06-21
22,106.7,2023-06-21
