level,power,date
30,563.3,2023-06-09
30,493.6,2023-06-09
30,478.9,2023-06-09
30,441.7,2023-06-09
29,441.3,2023-06-09
28,439.9,2023-06-09
30,434.2,2023-06-09
30,433.0,2023-06-09
30,416.2,2023-06-09
28,414.9,2023-06-09
30,414.6,2023-06-09
29,397.8,2023-06-09
28,394.3,2023-06-09
29,393.0,2023-06-09
30,386.1,2023-06-09
26,384.2,2023-06-09
30,383.1,2023-06-09
29,382.1,2023-06-09
29,381.5,2023-06-09
28,380.5,2023-06-09
28,378.8,2023-06-09
29,372.5,2023-06-09
28,372.2,2023-06-09
29,355.3,2023-06-09
26,354.1,2023-06-09
29,352.7,2023-06-09
27,343.6,2023-06-09
27,334.7,2023-06-09
29,334.3,2023-06-09
29,332.6,2023-06-09
29,327.0,2023-06-09
27,324.4,2023-06-09
29,321.3,2023-06-09
27,312.4,2023-06-09
27,310.8,2023-06-09
25,309.0,2023-06-09
28,306.7,2023-06-09
27,305.5,2023-06-09
27,300.8,2023-06-09
27,297.8,2023-06-09
27,277.7,2023-06-09
28,267.6,2023-06-09
27,254.2,2023-06-09
27,250.3,2023-06-09
26,221.1,2023-06-09
26,217.4,2023-06-09
26,215.8,2023-06-09
27,211.9,2023-06-09
23,110.8,2023-06-09
19,73.7,2023-06-09
20,61.3,2023-06-09
