level,power,date
30,773.3,2023-06-21
30,611.0,2023-06-21
30,598.2,2023-06-21
30,594.6,2023-06-21
30,550.4,2023-06-21
30,527.8,2023-06-21
30,515.8,2023-06-21
30,514.5,2023-06-21
30,514.1,2023-06-21
30,505.8,2023-06-21
29,503.6,2023-06-21
30,489.6,2023-06-21
30,489.2,2023-06-21
30,483.1,2023-06-21
30,481.5,2023-06-21
30,463.8,2023-06-21
30,460.2,2023-06-21
30,453.7,2023-06-21
27,440.7,2023-06-21
30,438.9,2023-06-21
28,431.4,2023-06-21
28,427.1,2023-06-21
30,422.6,2023-06-21
30,419.2,2023-06-21
27,395.5,2023-06-21
30,390.9,2023-06-21
30,381.2,2023-06-21
30,376.9,2023-06-21
30,373.9,2023-06-21
26,368.6,2023-06-21
29,339.6,2023-06-21
27,337.9,2023-06-21
27,337.6,2023-06-21
26,337.5,2023-06-21
27,337.0,2023-06-21
27,331.7,2023-06-21
27,330.7,2023-06-21
27,326.0,2023-06-21
28,322.6,2023-06-21
25,304.5,2023-06-21
24,287.1,2023-06-21
28,284.7,2023-06-21
27,271.7,2023-06-21
27,270.2,2023-06-21
28,265.5,2023-06-21
28,256.6,2023-06-21
27,255.5,2023-06-21
24,203.2,2023-06-21
24,198.3,2023-06-21
27,184.6,2023-06-21
25,179.1,2023-06-21
20,80.1,2023-06-21
20,62.4,2023-06-21
