level,power,date
30,754.3,2023-06-21
30,716.0,2023-06-21
30,701.2,2023-06-21
30,694.5,2023-06-21
30,687.2,2023-06-21
30,683.8,2023-06-21
30,670.2,2023-06-21
30,663.1,2023-06-21
30,656.1,2023-06-21
30,653.8,2023-06-21
30,652.5,2023-06-21
30,643.2,2023-06-21
30,625.1,2023-06-21
30,606.2,2023-06-21
30,604.5,2023-06-21
30,603.6,2023-06-21
30,598.9,2023-06-21
30,592.0,2023-06-21
30,582.8,2023-06-21
30,566.8,2023-06-21
30,566.4,2023-06-21
30,564.4,2023-06-21
30,562.8,2023-06-21
30,547.7,2023-06-21
30,546.5,2023-06-21
30,541.2,2023-06-21
30,538.0,2023-06-21
30,537.3,2023-06-21
30,533.8,2023-06-21
30,533.7,2023-06-21
30,527.6,2023-06-21
30,523.6,2023-06-21
30,519.0,2023-06-21
30,500.6,2023-06-21
30,493.0,2023-06-21
30,489.1,2023-06-21
30,483.7,2023-06-21
30,478.4,2023-06-21
30,476.6,2023-06-21
28,455.4,2023-06-21
29,448.0,2023-06-21
28,435.6,2023-06-21
30,415.9,2023-06-21
30,410.0,2023-06-21
27,376.5,2023-06-21
30,366.6,2023-06-21
30,363.1,2023-06-21
30,360.5,2023-06-21
28,360.3,2023-06-21
30,347.3,2023-06-21
30,323.4,2023-06-21
