,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,29,359.6,2023-05-26
1,1,1,1,30,690.7,2023-05-26
2,2,2,2,30,707.0,2023-05-26
3,3,3,3,30,569.1,2023-05-26
4,4,4,4,30,577.6,2023-05-26
5,5,5,5,30,549.8,2023-05-26
6,6,6,6,30,541.6,2023-05-26
7,7,7,7,30,541.5,2023-05-26
8,8,8,8,30,505.2,2023-05-26
9,9,9,9,30,481.9,2023-05-26
10,10,10,10,30,476.9,2023-05-26
11,11,11,11,30,470.4,2023-05-26
12,12,12,12,30,443.5,2023-05-26
13,13,13,13,30,426.7,2023-05-26
14,14,14,14,30,408.4,2023-05-26
15,15,15,15,29,480.5,2023-05-26
16,16,16,16,29,327.3,2023-05-26
17,17,17,17,28,424.6,2023-05-26
18,18,18,18,28,393.8,2023-05-26
19,19,19,19,27,377.5,2023-05-26
20,20,20,20,27,282.6,2023-05-26
21,21,21,21,25,315.3,2023-05-26
22,22,22,22,24,382.9,2023-05-26
23,23,23,23,26,234.4,2023-05-26
24,24,24,24,30,548.4,2023-05-26
25,25,25,25,29,471.3,2023-05-26
26,26,26,26,29,331.9,2023-05-26
27,27,27,27,26,341.2,2023-05-26
28,28,28,28,29,421.3,2023-05-26
29,29,29,29,27,425.5,2023-05-26
30,30,30,30,26,307.4,2023-05-26
31,31,31,31,25,266.4,2023-05-26
32,32,32,32,28,417.2,2023-05-26
33,33,33,33,26,290.2,2023-05-26
34,34,34,34,24,298.7,2023-05-26
35,35,35,35,28,377.8,2023-05-26
36,36,36,36,29,494.9,2023-05-26
37,37,37,37,27,286.8,2023-05-26
38,38,38,38,26,282.1,2023-05-26
39,39,39,39,22,133.8,2023-05-26
40,40,40,40,30,529.9,2023-05-26
41,41,41,41,28,365.2,2023-05-26
42,42,42,42,30,416.1,2023-05-26
43,43,43,43,28,358.6,2023-05-26
44,44,44,44,29,442.3,2023-05-26
45,45,45,45,19,152.7,2023-05-26
46,46,46,46,30,463.9,2023-05-26
47,47,47,47,26,270.4,2023-05-26
48,48,48,48,23,253.8,2023-05-26
49,49,49,49,30,429.5,2023-05-26
50,50,50,50,30,439.3,2023-05-26
51,51,51,51,27,336.2,2023-05-26
52,52,52,52,30,516.7,2023-05-26
53,53,53,53,27,334.8,2023-05-26
54,54,54,54,26,267.7,2023-05-26
55,55,55,55,30,561.4,2023-05-26
56,56,56,56,26,381.9,2023-05-26
57,57,57,57,30,484.9,2023-05-26
58,58,58,58,23,174.3,2023-05-26
59,59,59,59,27,306.8,2023-05-26
60,60,60,60,30,556.4,2023-05-26
61,61,61,61,26,235.8,2023-05-26
62,62,62,62,28,290.4,2023-05-26
