level,power,date
30,759.4,2023-06-16
30,721.1,2023-06-16
30,693.0,2023-06-16
30,690.3,2023-06-16
30,676.1,2023-06-16
30,668.5,2023-06-16
30,657.7,2023-06-16
30,651.3,2023-06-16
30,649.5,2023-06-16
30,641.0,2023-06-16
30,636.1,2023-06-16
30,625.8,2023-06-16
30,621.2,2023-06-16
30,619.6,2023-06-16
30,567.0,2023-06-16
30,566.3,2023-06-16
30,566.3,2023-06-16
30,554.3,2023-06-16
30,551.8,2023-06-16
30,551.1,2023-06-16
30,532.7,2023-06-16
30,507.8,2023-06-16
30,501.3,2023-06-16
30,500.8,2023-06-16
30,500.7,2023-06-16
29,500.3,2023-06-16
30,499.3,2023-06-16
30,492.8,2023-06-16
30,488.5,2023-06-16
30,487.6,2023-06-16
30,468.9,2023-06-16
29,464.4,2023-06-16
30,463.3,2023-06-16
30,449.5,2023-06-16
30,423.7,2023-06-16
27,410.8,2023-06-16
29,410.6,2023-06-16
29,389.5,2023-06-16
26,388.6,2023-06-16
26,385.1,2023-06-16
29,351.7,2023-06-16
28,342.6,2023-06-16
29,332.3,2023-06-16
25,318.8,2023-06-16
29,311.3,2023-06-16
24,306.7,2023-06-16
26,305.4,2023-06-16
25,297.9,2023-06-16
27,289.9,2023-06-16
24,282.1,2023-06-16
26,280.1,2023-06-16
26,276.8,2023-06-16
27,266.8,2023-06-16
27,255.2,2023-06-16
28,250.9,2023-06-16
25,222.5,2023-06-16
23,198.7,2023-06-16
23,197.1,2023-06-16
22,189.4,2023-06-16
23,164.5,2023-06-16
