level,power,date
31,825.6,2023-09-11
30,745.2,2023-09-11
31,732.0,2023-09-11
31,724.9,2023-09-11
31,642.1,2023-09-11
31,638.6,2023-09-11
30,638.2,2023-09-11
32,628.2,2023-09-11
32,618.9,2023-09-11
28,571.3,2023-09-11
30,569.7,2023-09-11
30,566.5,2023-09-11
30,561.5,2023-09-11
30,557.6,2023-09-11
30,547.6,2023-09-11
31,539.0,2023-09-11
30,538.0,2023-09-11
29,504.8,2023-09-11
30,504.0,2023-09-11
30,498.3,2023-09-11
30,492.0,2023-09-11
30,491.9,2023-09-11
29,481.0,2023-09-11
30,470.1,2023-09-11
28,460.1,2023-09-11
28,457.1,2023-09-11
30,441.3,2023-09-11
29,429.5,2023-09-11
27,426.9,2023-09-11
30,410.3,2023-09-11
29,409.7,2023-09-11
28,405.0,2023-09-11
29,385.2,2023-09-11
29,363.6,2023-09-11
29,362.2,2023-09-11
26,344.1,2023-09-11
27,339.9,2023-09-11
27,331.3,2023-09-11
29,306.4,2023-09-11
27,304.4,2023-09-11
27,303.3,2023-09-11
27,293.0,2023-09-11
26,288.0,2023-09-11
26,287.1,2023-09-11
24,263.3,2023-09-11
23,252.7,2023-09-11
26,249.8,2023-09-11
23,220.6,2023-09-11
23,200.0,2023-09-11
27,196.2,2023-09-11
23,181.5,2023-09-11
