level,power,date
30,596.3,2023-06-16
30,560.4,2023-06-16
30,541.1,2023-06-16
30,519.9,2023-06-16
30,515.8,2023-06-16
30,505.7,2023-06-16
30,487.8,2023-06-16
28,479.1,2023-06-16
30,477.0,2023-06-16
29,474.7,2023-06-16
30,465.5,2023-06-16
30,464.7,2023-06-16
28,455.7,2023-06-16
28,447.1,2023-06-16
29,432.6,2023-06-16
28,429.2,2023-06-16
29,427.3,2023-06-16
30,423.7,2023-06-16
30,423.7,2023-06-16
28,420.6,2023-06-16
30,413.3,2023-06-16
29,406.4,2023-06-16
29,406.3,2023-06-16
27,401.2,2023-06-16
30,397.4,2023-06-16
29,384.2,2023-06-16
29,375.2,2023-06-16
25,370.6,2023-06-16
30,368.8,2023-06-16
29,361.4,2023-06-16
29,325.2,2023-06-16
30,322.6,2023-06-16
29,312.5,2023-06-16
25,262.0,2023-06-16
27,235.8,2023-06-16
25,219.9,2023-06-16
