level,power,date
30,609.7,2023-06-21
30,574.7,2023-06-21
30,555.4,2023-06-21
30,541.9,2023-06-21
30,533.6,2023-06-21
30,532.2,2023-06-21
30,529.8,2023-06-21
30,529.8,2023-06-21
30,520.1,2023-06-21
30,518.8,2023-06-21
30,492.7,2023-06-21
30,492.0,2023-06-21
30,483.9,2023-06-21
30,482.0,2023-06-21
30,469.1,2023-06-21
30,469.0,2023-06-21
30,459.1,2023-06-21
30,456.6,2023-06-21
30,454.7,2023-06-21
29,428.6,2023-06-21
30,424.5,2023-06-21
28,415.9,2023-06-21
29,412.3,2023-06-21
28,401.6,2023-06-21
29,385.8,2023-06-21
26,362.8,2023-06-21
29,341.5,2023-06-21
28,340.8,2023-06-21
29,338.8,2023-06-21
28,335.0,2023-06-21
24,334.0,2023-06-21
27,332.0,2023-06-21
26,329.0,2023-06-21
28,325.6,2023-06-21
28,317.1,2023-06-21
27,298.2,2023-06-21
29,277.8,2023-06-21
24,268.4,2023-06-21
28,265.7,2023-06-21
25,234.8,2023-06-21
25,213.1,2023-06-21
24,199.9,2023-06-21
23,140.4,2023-06-21
23,105.3,2023-06-21
