level,power,date
30,827.4,2023-08-04
30,719.8,2023-08-04
30,705.5,2023-08-04
30,674.0,2023-08-04
30,670.7,2023-08-04
30,666.4,2023-08-04
30,661.8,2023-08-04
30,655.6,2023-08-04
30,646.6,2023-08-04
30,609.3,2023-08-04
30,582.1,2023-08-04
30,578.2,2023-08-04
30,567.0,2023-08-04
30,554.7,2023-08-04
30,549.0,2023-08-04
30,545.4,2023-08-04
30,539.1,2023-08-04
30,526.2,2023-08-04
30,519.9,2023-08-04
30,514.6,2023-08-04
30,513.8,2023-08-04
30,508.4,2023-08-04
30,501.3,2023-08-04
30,482.8,2023-08-04
30,461.9,2023-08-04
30,455.6,2023-08-04
30,452.6,2023-08-04
30,434.3,2023-08-04
28,433.3,2023-08-04
30,431.0,2023-08-04
28,421.2,2023-08-04
30,414.2,2023-08-04
27,414.2,2023-08-04
29,398.7,2023-08-04
30,378.2,2023-08-04
30,376.3,2023-08-04
29,325.4,2023-08-04
28,258.5,2023-08-04
25,188.7,2023-08-04
24,148.9,2023-08-04
24,144.9,2023-08-04
