Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30.0,567.2,2023-06-02
1,1,1,1,1,1,30.0,590.5,2023-06-02
2,2,2,2,2,2,30.0,587.7,2023-06-02
3,3,3,3,3,3,30.0,532.0,2023-06-02
4,4,4,4,4,4,30.0,510.1,2023-06-02
5,5,5,5,5,5,30.0,555.3,2023-06-02
6,6,6,6,6,6,30.0,488.8,2023-06-02
7,7,7,7,7,7,30.0,438.3,2023-06-02
8,8,8,8,8,8,26.0,373.4,2023-06-02
9,9,9,9,9,9,29.0,383.5,2023-06-02
10,10,10,10,10,10,27.0,335.0,2023-06-02
11,11,11,11,11,11,27.0,308.4,2023-06-02
12,12,12,12,12,12,30.0,554.5,2023-06-02
13,13,13,13,13,13,30.0,537.5,2023-06-02
14,14,14,14,14,14,30.0,527.2,2023-06-02
15,15,15,15,15,15,28.0,473.7,2023-06-02
16,16,16,16,16,16,30.0,518.5,2023-06-02
17,17,17,17,17,17,30.0,539.8,2023-06-02
18,18,18,18,18,18,30.0,460.9,2023-06-02
19,19,19,19,19,19,30.0,530.3,2023-06-02
20,20,20,20,20,20,30.0,558.7,2023-06-02
21,21,21,21,21,21,30.0,495.2,2023-06-02
22,22,22,22,22,22,30.0,485.5,2023-06-02
23,23,23,23,23,23,29.0,581.8,2023-06-02
24,24,24,24,24,24,30.0,414.5,2023-06-02
25,25,25,25,25,25,25.0,299.4,2023-06-02
26,26,26,26,26,26,29.0,419.9,2023-06-02
27,27,27,27,27,27,26.0,373.8,2023-06-02
28,28,28,28,28,28,30.0,545.8,2023-06-02
29,29,29,29,29,29,30.0,502.6,2023-06-02
30,30,30,30,30,30,30.0,495.3,2023-06-02
31,31,31,31,31,31,30.0,421.1,2023-06-02
32,32,32,32,32,32,30.0,345.6,2023-06-02
33,33,33,33,33,33,30.0,563.0,2023-06-02
34,34,34,34,34,34,30.0,462.7,2023-06-02
35,35,35,35,35,35,30.0,569.2,2023-06-02
36,36,36,36,36,36,29.0,401.9,2023-06-02
37,37,37,37,37,37,26.0,286.3,2023-06-02
38,38,38,38,38,38,30.0,527.0,2023-06-02
39,39,39,39,39,39,29.0,496.9,2023-06-02
40,40,40,40,40,40,29.0,383.8,2023-06-02
41,41,41,41,41,41,28.0,382.4,2023-06-02
42,42,42,42,42,42,28.0,401.7,2023-06-02
43,43,43,43,43,43,30.0,541.5,2023-06-02
44,44,44,44,44,44,11.0,26.7,2023-06-02
45,45,45,45,45,45,25.0,211.2,2023-06-02
46,46,46,46,46,46,29.0,362.6,2023-06-02
47,47,47,47,47,47,30.0,621.5,2023-06-02
48,48,48,48,48,48,22.0,139.0,2023-06-02
49,49,49,49,49,49,30.0,488.6,2023-06-02
50,50,50,50,50,50,28.0,362.9,2023-06-02
51,51,51,51,51,51,30.0,569.2,2023-06-02
52,52,52,52,52,52,30.0,444.2,2023-06-02
53,53,53,53,53,53,30.0,430.3,2023-06-02
54,54,54,54,54,54,27.0,320.7,2023-06-02
55,55,55,55,55,55,29.0,398.3,2023-06-02
