level,power,date
30,710.2,2023-07-03
30,681.8,2023-07-03
30,661.0,2023-07-03
30,629.9,2023-07-03
30,624.9,2023-07-03
30,610.7,2023-07-03
30,591.5,2023-07-03
30,578.0,2023-07-03
30,544.0,2023-07-03
30,534.2,2023-07-03
30,522.3,2023-07-03
27,506.9,2023-07-03
30,505.9,2023-07-03
30,481.8,2023-07-03
27,472.4,2023-07-03
29,459.5,2023-07-03
30,439.6,2023-07-03
27,415.5,2023-07-03
26,406.3,2023-07-03
28,402.6,2023-07-03
30,396.5,2023-07-03
29,394.2,2023-07-03
29,384.1,2023-07-03
28,377.1,2023-07-03
27,368.6,2023-07-03
29,359.9,2023-07-03
29,359.8,2023-07-03
26,336.8,2023-07-03
26,321.7,2023-07-03
23,314.4,2023-07-03
27,307.3,2023-07-03
24,284.4,2023-07-03
27,284.0,2023-07-03
24,262.2,2023-07-03
24,254.9,2023-07-03
25,249.0,2023-07-03
23,238.8,2023-07-03
24,202.1,2023-07-03
25,197.4,2023-07-03
25,191.9,2023-07-03
24,153.3,2023-07-03
24,122.1,2023-07-03
