level,power,date
30.0,563.5,2023-06-16
30.0,525.6,2023-06-16
30.0,472.2,2023-06-16
30.0,445.8,2023-06-16
30.0,431.0,2023-06-16
30.0,405.8,2023-06-16
29.0,398.3,2023-06-16
30.0,397.6,2023-06-16
29.0,393.4,2023-06-16
28.0,392.0,2023-06-16
30.0,384.5,2023-06-16
27.0,373.1,2023-06-16
29.0,366.0,2023-06-16
29.0,362.6,2023-06-16
29.0,321.1,2023-06-16
27.0,316.7,2023-06-16
25.0,221.0,2023-06-16
25.0,208.3,2023-06-16
25.0,208.1,2023-06-16
25.0,191.9,2023-06-16
25.0,185.8,2023-06-16
25.0,175.3,2023-06-16
25.0,158.0,2023-06-16
22.0,121.4,2023-06-16
22.0,108.5,2023-06-16
22.0,90.4,2023-06-16
19.0,60.8,2023-06-16
18.0,46.0,2023-06-16
16.0,42.6,2023-06-16
17.0,42.2,2023-06-16
12.0,25.0,2023-06-16
12.0,16.3,2023-06-16
11.0,16.0,2023-06-16
11.0,14.5,2023-06-16
7.0,9.7,2023-06-16
