level,power,date
30,682.5,2023-08-04
30,675.4,2023-08-04
30,652.3,2023-08-04
30,640.7,2023-08-04
30,639.1,2023-08-04
30,600.6,2023-08-04
30,585.4,2023-08-04
30,546.4,2023-08-04
30,526.3,2023-08-04
30,515.0,2023-08-04
30,489.7,2023-08-04
30,488.5,2023-08-04
30,488.1,2023-08-04
26,484.7,2023-08-04
30,484.5,2023-08-04
30,482.1,2023-08-04
29,469.8,2023-08-04
29,446.0,2023-08-04
27,440.2,2023-08-04
30,437.2,2023-08-04
30,434.0,2023-08-04
30,428.6,2023-08-04
29,421.8,2023-08-04
30,376.0,2023-08-04
26,353.4,2023-08-04
28,350.6,2023-08-04
27,349.9,2023-08-04
28,340.7,2023-08-04
26,339.7,2023-08-04
28,338.5,2023-08-04
29,336.3,2023-08-04
29,333.6,2023-08-04
27,323.5,2023-08-04
28,320.5,2023-08-04
28,306.7,2023-08-04
27,306.1,2023-08-04
27,304.7,2023-08-04
27,299.3,2023-08-04
27,297.9,2023-08-04
24,293.8,2023-08-04
26,290.0,2023-08-04
27,289.0,2023-08-04
26,280.6,2023-08-04
26,234.2,2023-08-04
25,178.9,2023-08-04
