level,power,date
30,587.3,2023-06-21
30,575.3,2023-06-21
30,554.1,2023-06-21
30,471.3,2023-06-21
28,458.0,2023-06-21
30,444.9,2023-06-21
29,439.8,2023-06-21
28,438.7,2023-06-21
28,434.4,2023-06-21
29,408.5,2023-06-21
28,402.0,2023-06-21
27,400.4,2023-06-21
26,395.6,2023-06-21
28,383.8,2023-06-21
27,378.5,2023-06-21
27,376.5,2023-06-21
26,360.8,2023-06-21
26,351.5,2023-06-21
25,347.6,2023-06-21
26,326.4,2023-06-21
27,322.2,2023-06-21
25,312.9,2023-06-21
23,304.8,2023-06-21
27,304.1,2023-06-21
26,300.4,2023-06-21
26,295.8,2023-06-21
22,257.6,2023-06-21
28,256.9,2023-06-21
25,249.5,2023-06-21
26,245.9,2023-06-21
25,231.5,2023-06-21
23,216.4,2023-06-21
26,211.1,2023-06-21
25,196.2,2023-06-21
23,170.8,2023-06-21
23,169.4,2023-06-21
22,145.9,2023-06-21
23,126.1,2023-06-21
21,112.7,2023-06-21
20,100.3,2023-06-21
21,95.0,2023-06-21
