level,power,date
32,878.1,2023-09-13
32,870.1,2023-09-13
32,861.9,2023-09-13
32,861.7,2023-09-13
32,858.0,2023-09-13
32,830.9,2023-09-13
31,822.5,2023-09-13
31,813.7,2023-09-13
32,813.2,2023-09-13
31,771.5,2023-09-13
31,760.1,2023-09-13
31,753.7,2023-09-13
31,749.9,2023-09-13
31,738.6,2023-09-13
32,731.0,2023-09-13
31,727.0,2023-09-13
32,720.9,2023-09-13
31,699.5,2023-09-13
30,697.9,2023-09-13
31,696.6,2023-09-13
31,693.3,2023-09-13
31,692.8,2023-09-13
31,688.8,2023-09-13
31,657.7,2023-09-13
31,650.1,2023-09-13
31,646.2,2023-09-13
32,645.8,2023-09-13
31,644.3,2023-09-13
31,641.8,2023-09-13
30,640.4,2023-09-13
30,634.8,2023-09-13
30,629.4,2023-09-13
30,625.4,2023-09-13
30,621.6,2023-09-13
31,616.3,2023-09-13
31,609.3,2023-09-13
30,596.6,2023-09-13
31,596.5,2023-09-13
31,590.9,2023-09-13
30,569.5,2023-09-13
30,566.3,2023-09-13
30,564.0,2023-09-13
30,558.1,2023-09-13
30,546.2,2023-09-13
30,546.0,2023-09-13
30,520.6,2023-09-13
29,514.2,2023-09-13
27,513.1,2023-09-13
31,499.2,2023-09-13
31,498.6,2023-09-13
29,489.3,2023-09-13
30,488.6,2023-09-13
30,486.0,2023-09-13
30,479.6,2023-09-13
30,455.0,2023-09-13
28,424.8,2023-09-13
29,423.8,2023-09-13
27,420.0,2023-09-13
29,414.6,2023-09-13
30,408.3,2023-09-13
29,405.6,2023-09-13
27,325.1,2023-09-13
26,311.7,2023-09-13
28,282.4,2023-09-13
26,263.3,2023-09-13
27,240.3,2023-09-13
26,239.4,2023-09-13
24,164.5,2023-09-13
23,128.3,2023-09-13
