level,power,date
30,861.4,2023-06-10
30,705.4,2023-06-10
30,604.1,2023-06-10
30,592.0,2023-06-10
29,463.4,2023-06-10
30,454.3,2023-06-10
30,444.6,2023-06-10
28,444.2,2023-06-10
29,432.5,2023-06-10
27,407.4,2023-06-10
28,404.4,2023-06-10
28,395.0,2023-06-10
28,368.1,2023-06-10
28,365.1,2023-06-10
25,362.1,2023-06-10
29,355.6,2023-06-10
27,347.5,2023-06-10
28,347.4,2023-06-10
25,331.7,2023-06-10
27,320.0,2023-06-10
26,319.3,2023-06-10
26,312.2,2023-06-10
25,306.0,2023-06-10
25,293.3,2023-06-10
25,288.7,2023-06-10
26,283.2,2023-06-10
25,259.2,2023-06-10
26,256.7,2023-06-10
25,226.4,2023-06-10
23,219.3,2023-06-10
24,216.5,2023-06-10
26,202.4,2023-06-10
23,201.8,2023-06-10
22,179.0,2023-06-10
21,149.0,2023-06-10
24,146.0,2023-06-10
23,145.6,2023-06-10
22,130.8,2023-06-10
22,123.4,2023-06-10
21,122.8,2023-06-10
19,117.8,2023-06-10
22,111.9,2023-06-10
22,111.2,2023-06-10
21,104.7,2023-06-10
19,86.0,2023-06-10
20,69.0,2023-06-10
