,level,power,date
0,30,469.8,2023-06-02
1,30,560.4,2023-06-02
2,30,534.1,2023-06-02
3,30,506.8,2023-06-02
4,30,621.8,2023-06-02
5,30,470.5,2023-06-02
6,30,428.9,2023-06-02
7,29,394.9,2023-06-02
8,27,381.6,2023-06-02
9,26,354.8,2023-06-02
10,30,454.5,2023-06-02
11,30,435.7,2023-06-02
12,28,450.6,2023-06-02
13,28,375.3,2023-06-02
14,30,424.2,2023-06-02
15,30,435.7,2023-06-02
16,30,580.3,2023-06-02
17,30,517.0,2023-06-02
18,30,564.6,2023-06-02
19,25,258.8,2023-06-02
20,27,344.1,2023-06-02
21,26,397.6,2023-06-02
22,30,450.2,2023-06-02
23,27,370.8,2023-06-02
24,28,328.9,2023-06-02
25,26,380.0,2023-06-02
26,30,480.1,2023-06-02
27,28,391.6,2023-06-02
28,27,358.2,2023-06-02
29,30,439.3,2023-06-02
30,21,77.0,2023-06-02
31,28,389.3,2023-06-02
32,17,52.7,2023-06-02
33,26,253.5,2023-06-02
34,30,482.8,2023-06-02
35,27,299.5,2023-06-02
36,28,298.7,2023-06-02
37,25,310.9,2023-06-02
38,28,222.4,2023-06-02
39,27,198.8,2023-06-02
40,26,215.0,2023-06-02
41,30,413.7,2023-06-02
42,30,530.4,2023-06-02
43,30,458.8,2023-06-02
44,30,802.4,2023-06-02
