level,power,date
32,809.3,2023-09-13
32,786.3,2023-09-13
32,749.6,2023-09-13
31,743.6,2023-09-13
31,737.4,2023-09-13
30,629.7,2023-09-13
30,618.3,2023-09-13
31,608.1,2023-09-13
30,601.7,2023-09-13
32,598.1,2023-09-13
31,590.1,2023-09-13
30,584.7,2023-09-13
31,579.1,2023-09-13
30,575.7,2023-09-13
31,572.1,2023-09-13
30,571.5,2023-09-13
30,570.8,2023-09-13
31,553.8,2023-09-13
30,552.3,2023-09-13
30,543.8,2023-09-13
30,542.1,2023-09-13
30,540.7,2023-09-13
27,534.8,2023-09-13
29,518.9,2023-09-13
30,513.9,2023-09-13
30,508.5,2023-09-13
30,503.3,2023-09-13
29,496.0,2023-09-13
30,492.0,2023-09-13
30,482.2,2023-09-13
30,478.4,2023-09-13
28,451.1,2023-09-13
27,447.3,2023-09-13
28,447.0,2023-09-13
29,400.9,2023-09-13
29,397.8,2023-09-13
27,390.2,2023-09-13
28,350.1,2023-09-13
28,333.5,2023-09-13
26,333.0,2023-09-13
27,321.3,2023-09-13
28,318.8,2023-09-13
27,318.2,2023-09-13
27,315.2,2023-09-13
27,292.3,2023-09-13
27,289.4,2023-09-13
27,280.2,2023-09-13
25,270.7,2023-09-13
28,263.3,2023-09-13
26,258.8,2023-09-13
26,198.6,2023-09-13
