level,power,date
30,734.5,2023-07-08
30,704.3,2023-07-08
30,659.4,2023-07-08
30,640.3,2023-07-08
30,633.7,2023-07-08
30,628.2,2023-07-08
30,596.5,2023-07-08
30,592.9,2023-07-08
30,582.4,2023-07-08
30,561.5,2023-07-08
30,561.2,2023-07-08
30,545.2,2023-07-08
30,508.8,2023-07-08
30,497.7,2023-07-08
30,492.7,2023-07-08
30,488.5,2023-07-08
30,487.3,2023-07-08
30,479.2,2023-07-08
30,477.4,2023-07-08
30,470.5,2023-07-08
28,459.7,2023-07-08
29,456.7,2023-07-08
28,445.2,2023-07-08
30,439.9,2023-07-08
30,432.9,2023-07-08
29,429.2,2023-07-08
30,415.7,2023-07-08
30,415.6,2023-07-08
30,407.7,2023-07-08
28,389.7,2023-07-08
27,381.8,2023-07-08
26,365.0,2023-07-08
28,362.3,2023-07-08
25,350.5,2023-07-08
27,350.3,2023-07-08
28,347.2,2023-07-08
29,345.7,2023-07-08
29,341.2,2023-07-08
27,322.0,2023-07-08
27,297.4,2023-07-08
27,296.3,2023-07-08
28,295.5,2023-07-08
26,295.1,2023-07-08
25,292.6,2023-07-08
26,292.3,2023-07-08
28,291.5,2023-07-08
28,288.1,2023-07-08
25,274.7,2023-07-08
26,264.8,2023-07-08
26,254.2,2023-07-08
26,220.7,2023-07-08
29,209.8,2023-07-08
27,202.2,2023-07-08
26,162.0,2023-07-08
