level,power,date
31,718.7,2023-09-13
30,714.1,2023-09-13
31,709.4,2023-09-13
31,705.4,2023-09-13
31,650.7,2023-09-13
31,648.8,2023-09-13
30,648.8,2023-09-13
31,646.3,2023-09-13
32,638.2,2023-09-13
31,630.4,2023-09-13
30,610.9,2023-09-13
31,606.8,2023-09-13
31,588.8,2023-09-13
30,580.0,2023-09-13
31,574.1,2023-09-13
31,570.4,2023-09-13
30,541.3,2023-09-13
30,534.5,2023-09-13
30,519.7,2023-09-13
29,519.1,2023-09-13
30,501.6,2023-09-13
30,499.4,2023-09-13
28,488.4,2023-09-13
30,480.7,2023-09-13
30,471.1,2023-09-13
29,462.8,2023-09-13
29,448.8,2023-09-13
29,447.4,2023-09-13
29,437.6,2023-09-13
30,436.2,2023-09-13
26,429.3,2023-09-13
28,429.2,2023-09-13
26,400.4,2023-09-13
29,395.7,2023-09-13
29,391.5,2023-09-13
29,381.1,2023-09-13
29,377.4,2023-09-13
25,367.6,2023-09-13
29,349.2,2023-09-13
27,348.3,2023-09-13
30,346.3,2023-09-13
28,342.0,2023-09-13
29,329.2,2023-09-13
27,290.0,2023-09-13
27,289.1,2023-09-13
28,268.7,2023-09-13
28,268.5,2023-09-13
26,263.2,2023-09-13
26,258.8,2023-09-13
26,217.0,2023-09-13
26,216.2,2023-09-13
27,205.8,2023-09-13
23,178.9,2023-09-13
26,175.6,2023-09-13
21,97.8,2023-09-13
14,17.7,2023-09-13
