level,power,date
32,919.0,2023-10-08
32,879.5,2023-10-08
32,863.0,2023-10-08
32,840.9,2023-10-08
32,831.9,2023-10-08
33,830.6,2023-10-08
32,827.2,2023-10-08
32,811.8,2023-10-08
32,788.9,2023-10-08
32,780.6,2023-10-08
32,764.1,2023-10-08
32,758.5,2023-10-08
32,754.7,2023-10-08
32,754.3,2023-10-08
32,743.1,2023-10-08
32,727.1,2023-10-08
31,720.7,2023-10-08
32,716.7,2023-10-08
32,714.8,2023-10-08
32,707.5,2023-10-08
31,700.6,2023-10-08
32,693.4,2023-10-08
32,690.9,2023-10-08
32,685.4,2023-10-08
32,681.8,2023-10-08
32,679.4,2023-10-08
32,675.8,2023-10-08
32,673.4,2023-10-08
32,671.3,2023-10-08
31,668.8,2023-10-08
32,667.7,2023-10-08
32,659.7,2023-10-08
31,658.5,2023-10-08
31,648.3,2023-10-08
31,647.6,2023-10-08
31,646.0,2023-10-08
32,623.2,2023-10-08
30,621.3,2023-10-08
32,615.4,2023-10-08
30,615.3,2023-10-08
31,612.2,2023-10-08
31,600.9,2023-10-08
31,576.6,2023-10-08
30,570.8,2023-10-08
31,564.4,2023-10-08
28,551.7,2023-10-08
31,551.0,2023-10-08
28,549.0,2023-10-08
31,533.9,2023-10-08
30,527.9,2023-10-08
30,524.0,2023-10-08
30,520.9,2023-10-08
30,490.3,2023-10-08
30,482.0,2023-10-08
30,479.2,2023-10-08
29,469.4,2023-10-08
31,467.7,2023-10-08
30,447.3,2023-10-08
27,441.5,2023-10-08
29,412.8,2023-10-08
30,387.9,2023-10-08
30,365.1,2023-10-08
28,287.7,2023-10-08
24,171.1,2023-10-08
21,114.5,2023-10-08
14,18.8,2023-10-08
