level,power,date
30,599.8,2023-06-10
30,553.8,2023-06-10
30,502.0,2023-06-10
29,482.8,2023-06-10
30,470.2,2023-06-10
30,453.8,2023-06-10
30,452.9,2023-06-10
30,449.6,2023-06-10
29,440.9,2023-06-10
30,431.5,2023-06-10
29,430.3,2023-06-10
29,423.1,2023-06-10
30,404.0,2023-06-10
30,402.8,2023-06-10
30,398.6,2023-06-10
27,397.7,2023-06-10
29,386.4,2023-06-10
29,370.8,2023-06-10
26,370.6,2023-06-10
28,339.5,2023-06-10
29,336.2,2023-06-10
27,335.9,2023-06-10
29,334.5,2023-06-10
27,331.1,2023-06-10
28,329.8,2023-06-10
29,328.0,2023-06-10
26,327.3,2023-06-10
29,319.5,2023-06-10
27,315.3,2023-06-10
27,305.7,2023-06-10
26,301.1,2023-06-10
25,289.1,2023-06-10
26,285.9,2023-06-10
25,283.4,2023-06-10
24,270.8,2023-06-10
26,270.6,2023-06-10
26,263.6,2023-06-10
26,257.4,2023-06-10
27,255.9,2023-06-10
25,254.9,2023-06-10
26,245.1,2023-06-10
27,205.0,2023-06-10
24,191.5,2023-06-10
26,190.4,2023-06-10
21,138.2,2023-06-10
