level,power,date
30,703.7,2023-06-16
30,642.7,2023-06-16
30,610.3,2023-06-16
30,608.2,2023-06-16
30,584.5,2023-06-16
30,579.0,2023-06-16
30,557.2,2023-06-16
30,521.8,2023-06-16
30,518.0,2023-06-16
30,500.8,2023-06-16
30,497.3,2023-06-16
30,497.3,2023-06-16
30,490.0,2023-06-16
28,487.8,2023-06-16
30,482.0,2023-06-16
30,462.3,2023-06-16
30,459.8,2023-06-16
30,455.6,2023-06-16
30,451.9,2023-06-16
29,448.2,2023-06-16
30,447.4,2023-06-16
29,434.4,2023-06-16
28,431.4,2023-06-16
29,421.4,2023-06-16
30,421.1,2023-06-16
30,417.0,2023-06-16
29,416.0,2023-06-16
30,406.3,2023-06-16
29,403.5,2023-06-16
27,402.5,2023-06-16
27,398.8,2023-06-16
29,397.4,2023-06-16
28,397.1,2023-06-16
30,396.1,2023-06-16
29,392.2,2023-06-16
29,390.4,2023-06-16
30,384.5,2023-06-16
27,381.1,2023-06-16
30,377.5,2023-06-16
28,373.4,2023-06-16
27,371.1,2023-06-16
30,370.2,2023-06-16
27,369.1,2023-06-16
27,364.3,2023-06-16
27,357.1,2023-06-16
29,355.1,2023-06-16
27,354.3,2023-06-16
27,350.2,2023-06-16
25,348.5,2023-06-16
27,346.3,2023-06-16
26,342.1,2023-06-16
25,333.9,2023-06-16
29,332.4,2023-06-16
29,328.3,2023-06-16
26,322.0,2023-06-16
26,319.4,2023-06-16
28,318.9,2023-06-16
29,314.3,2023-06-16
25,311.6,2023-06-16
28,305.6,2023-06-16
25,304.1,2023-06-16
25,297.3,2023-06-16
29,294.0,2023-06-16
24,281.8,2023-06-16
24,279.6,2023-06-16
28,268.2,2023-06-16
25,263.1,2023-06-16
28,245.4,2023-06-16
25,222.7,2023-06-16
18,41.4,2023-06-16
