level,power,date
30,620.8,2023-07-03
28,593.5,2023-07-03
30,543.1,2023-07-03
30,540.9,2023-07-03
29,517.7,2023-07-03
30,484.6,2023-07-03
30,483.4,2023-07-03
28,447.3,2023-07-03
28,440.8,2023-07-03
28,436.7,2023-07-03
30,412.9,2023-07-03
28,406.7,2023-07-03
27,392.3,2023-07-03
27,387.0,2023-07-03
28,381.2,2023-07-03
27,380.8,2023-07-03
25,379.5,2023-07-03
25,357.8,2023-07-03
27,354.7,2023-07-03
25,353.8,2023-07-03
27,349.2,2023-07-03
24,340.5,2023-07-03
25,337.0,2023-07-03
26,335.8,2023-07-03
27,328.0,2023-07-03
24,326.7,2023-07-03
26,324.8,2023-07-03
26,323.5,2023-07-03
27,317.9,2023-07-03
26,316.1,2023-07-03
27,314.2,2023-07-03
26,312.5,2023-07-03
24,307.6,2023-07-03
24,290.1,2023-07-03
26,282.8,2023-07-03
25,274.6,2023-07-03
26,270.7,2023-07-03
23,270.7,2023-07-03
25,270.0,2023-07-03
27,264.3,2023-07-03
24,261.1,2023-07-03
24,257.4,2023-07-03
24,257.1,2023-07-03
29,254.2,2023-07-03
27,242.0,2023-07-03
25,240.0,2023-07-03
23,229.5,2023-07-03
23,228.1,2023-07-03
25,219.6,2023-07-03
24,204.3,2023-07-03
22,189.2,2023-07-03
25,187.6,2023-07-03
23,185.4,2023-07-03
24,166.0,2023-07-03
23,159.5,2023-07-03
19,150.5,2023-07-03
20,144.5,2023-07-03
23,139.6,2023-07-03
21,137.2,2023-07-03
23,136.1,2023-07-03
22,131.8,2023-07-03
22,121.5,2023-07-03
22,117.4,2023-07-03
21,111.6,2023-07-03
22,95.0,2023-07-03
21,92.6,2023-07-03
19,73.5,2023-07-03
