level,power,date
32,854.7,2023-09-13
32,847.3,2023-09-13
32,843.8,2023-09-13
32,838.4,2023-09-13
32,826.1,2023-09-13
31,820.1,2023-09-13
30,807.3,2023-09-13
32,798.6,2023-09-13
32,797.9,2023-09-13
32,775.7,2023-09-13
32,769.3,2023-09-13
31,764.2,2023-09-13
32,749.2,2023-09-13
31,733.1,2023-09-13
31,730.2,2023-09-13
32,724.9,2023-09-13
31,723.9,2023-09-13
31,721.8,2023-09-13
31,718.8,2023-09-13
32,688.6,2023-09-13
31,674.0,2023-09-13
30,664.7,2023-09-13
30,661.0,2023-09-13
32,647.0,2023-09-13
31,645.0,2023-09-13
32,639.1,2023-09-13
31,635.6,2023-09-13
31,633.3,2023-09-13
30,633.2,2023-09-13
31,631.3,2023-09-13
30,629.3,2023-09-13
31,625.4,2023-09-13
30,622.0,2023-09-13
31,618.5,2023-09-13
30,607.7,2023-09-13
30,607.7,2023-09-13
30,601.5,2023-09-13
30,598.7,2023-09-13
30,579.2,2023-09-13
30,578.7,2023-09-13
30,577.3,2023-09-13
30,571.4,2023-09-13
30,569.5,2023-09-13
31,569.1,2023-09-13
30,561.2,2023-09-13
30,556.7,2023-09-13
30,552.4,2023-09-13
30,549.9,2023-09-13
30,546.6,2023-09-13
30,544.0,2023-09-13
31,541.9,2023-09-13
28,536.9,2023-09-13
30,535.3,2023-09-13
30,515.2,2023-09-13
30,510.1,2023-09-13
30,503.1,2023-09-13
30,494.7,2023-09-13
30,490.3,2023-09-13
28,480.9,2023-09-13
27,447.9,2023-09-13
29,443.1,2023-09-13
28,419.9,2023-09-13
28,370.0,2023-09-13
25,339.6,2023-09-13
25,294.7,2023-09-13
23,199.9,2023-09-13
