level,power,date
32,751.6,2023-09-13
31,730.9,2023-09-13
31,728.8,2023-09-13
31,725.1,2023-09-13
31,686.6,2023-09-13
31,685.5,2023-09-13
31,679.3,2023-09-13
31,679.2,2023-09-13
31,673.2,2023-09-13
31,671.6,2023-09-13
31,660.9,2023-09-13
30,633.3,2023-09-13
30,615.3,2023-09-13
31,602.4,2023-09-13
30,598.9,2023-09-13
29,586.1,2023-09-13
30,583.6,2023-09-13
30,582.9,2023-09-13
30,582.3,2023-09-13
30,582.3,2023-09-13
31,579.6,2023-09-13
30,566.8,2023-09-13
31,555.9,2023-09-13
29,553.2,2023-09-13
30,552.2,2023-09-13
30,547.9,2023-09-13
30,541.2,2023-09-13
30,539.0,2023-09-13
31,538.9,2023-09-13
30,522.8,2023-09-13
30,500.0,2023-09-13
30,496.8,2023-09-13
29,496.2,2023-09-13
28,492.9,2023-09-13
28,473.3,2023-09-13
29,463.3,2023-09-13
30,457.3,2023-09-13
28,447.8,2023-09-13
29,447.7,2023-09-13
30,437.6,2023-09-13
29,423.6,2023-09-13
29,395.4,2023-09-13
26,358.0,2023-09-13
29,353.0,2023-09-13
30,347.5,2023-09-13
28,338.6,2023-09-13
29,329.4,2023-09-13
28,275.4,2023-09-13
28,260.3,2023-09-13
30,258.1,2023-09-13
26,212.1,2023-09-13
26,184.0,2023-09-13
24,161.2,2023-09-13
21,153.7,2023-09-13
26,152.5,2023-09-13
24,130.5,2023-09-13
21,112.8,2023-09-13
