level,power,date
30,779.8,2023-08-04
30,765.2,2023-08-04
30,760.6,2023-08-04
30,714.3,2023-08-04
31,687.5,2023-08-04
30,680.9,2023-08-04
30,665.4,2023-08-04
30,661.4,2023-08-04
30,656.2,2023-08-04
30,648.5,2023-08-04
30,641.1,2023-08-04
30,630.5,2023-08-04
30,614.9,2023-08-04
30,612.6,2023-08-04
30,610.9,2023-08-04
30,607.3,2023-08-04
30,605.1,2023-08-04
30,603.2,2023-08-04
30,585.4,2023-08-04
30,582.9,2023-08-04
30,579.1,2023-08-04
30,576.4,2023-08-04
30,575.2,2023-08-04
30,575.2,2023-08-04
30,574.7,2023-08-04
30,574.3,2023-08-04
30,553.9,2023-08-04
30,548.3,2023-08-04
30,541.4,2023-08-04
29,535.0,2023-08-04
30,518.7,2023-08-04
30,517.5,2023-08-04
30,515.8,2023-08-04
30,515.2,2023-08-04
30,507.6,2023-08-04
30,500.3,2023-08-04
30,498.4,2023-08-04
30,492.0,2023-08-04
30,491.1,2023-08-04
30,487.4,2023-08-04
29,472.9,2023-08-04
30,472.3,2023-08-04
29,469.3,2023-08-04
30,468.1,2023-08-04
28,468.0,2023-08-04
28,466.4,2023-08-04
30,460.9,2023-08-04
29,453.8,2023-08-04
30,449.7,2023-08-04
30,435.3,2023-08-04
30,431.3,2023-08-04
29,423.5,2023-08-04
28,409.9,2023-08-04
29,397.5,2023-08-04
29,378.8,2023-08-04
26,366.6,2023-08-04
24,224.8,2023-08-04
