level,power,date
30,504.4,2023-05-21
30,429.1,2023-05-21
27,374.0,2023-05-21
26,363.7,2023-05-21
28,318.6,2023-05-21
25,313.5,2023-05-21
27,299.6,2023-05-21
24,293.3,2023-05-21
25,290.8,2023-05-21
25,281.4,2023-05-21
27,276.3,2023-05-21
28,275.3,2023-05-21
25,259.0,2023-05-21
25,255.3,2023-05-21
25,251.5,2023-05-21
25,240.9,2023-05-21
24,230.8,2023-05-21
26,226.8,2023-05-21
25,222.0,2023-05-21
25,221.8,2023-05-21
25,200.3,2023-05-21
22,197.0,2023-05-21
24,194.0,2023-05-21
23,193.8,2023-05-21
25,178.1,2023-05-21
25,159.4,2023-05-21
22,152.1,2023-05-21
21,150.8,2023-05-21
23,145.4,2023-05-21
24,144.2,2023-05-21
24,141.9,2023-05-21
24,140.1,2023-05-21
20,119.8,2023-05-21
20,117.6,2023-05-21
21,111.2,2023-05-21
21,97.9,2023-05-21
22,90.6,2023-05-21
19,86.5,2023-05-21
19,81.6,2023-05-21
19,80.2,2023-05-21
20,77.5,2023-05-21
20,77.4,2023-05-21
19,72.7,2023-05-21
21,71.6,2023-05-21
20,70.7,2023-05-21
20,69.9,2023-05-21
18,67.9,2023-05-21
