level,power,date
30,751.6,2023-06-10
30,677.2,2023-06-10
30,629.3,2023-06-10
30,629.2,2023-06-10
30,623.1,2023-06-10
30,620.6,2023-06-10
30,619.1,2023-06-10
30,589.7,2023-06-10
30,588.9,2023-06-10
30,572.9,2023-06-10
30,571.8,2023-06-10
30,567.6,2023-06-10
30,555.0,2023-06-10
30,544.8,2023-06-10
30,522.2,2023-06-10
30,519.0,2023-06-10
30,518.0,2023-06-10
30,512.1,2023-06-10
30,503.0,2023-06-10
30,499.2,2023-06-10
30,498.2,2023-06-10
30,495.3,2023-06-10
30,492.7,2023-06-10
30,485.9,2023-06-10
30,481.1,2023-06-10
29,480.1,2023-06-10
30,480.0,2023-06-10
30,475.8,2023-06-10
30,462.1,2023-06-10
30,461.1,2023-06-10
30,457.7,2023-06-10
30,450.8,2023-06-10
30,450.1,2023-06-10
30,440.3,2023-06-10
30,435.1,2023-06-10
30,432.9,2023-06-10
30,432.5,2023-06-10
30,429.9,2023-06-10
30,423.0,2023-06-10
29,419.3,2023-06-10
28,401.3,2023-06-10
28,398.9,2023-06-10
28,397.6,2023-06-10
29,397.6,2023-06-10
29,391.6,2023-06-10
29,391.6,2023-06-10
29,381.6,2023-06-10
29,375.2,2023-06-10
29,372.9,2023-06-10
27,370.3,2023-06-10
29,367.4,2023-06-10
30,365.5,2023-06-10
28,352.2,2023-06-10
28,335.5,2023-06-10
26,335.3,2023-06-10
29,333.6,2023-06-10
28,330.7,2023-06-10
29,329.6,2023-06-10
30,329.1,2023-06-10
30,322.8,2023-06-10
30,296.5,2023-06-10
27,293.3,2023-06-10
30,282.4,2023-06-10
29,280.6,2023-06-10
27,267.1,2023-06-10
25,230.7,2023-06-10
24,187.4,2023-06-10
23,182.5,2023-06-10
