level,power,date
30,804.2,2023-06-16
30,770.6,2023-06-16
30,717.9,2023-06-16
30,707.3,2023-06-16
30,699.6,2023-06-16
30,678.9,2023-06-16
30,656.7,2023-06-16
30,645.5,2023-06-16
30,643.2,2023-06-16
30,637.0,2023-06-16
30,614.6,2023-06-16
30,592.6,2023-06-16
30,590.0,2023-06-16
30,585.7,2023-06-16
30,572.9,2023-06-16
30,567.8,2023-06-16
30,562.8,2023-06-16
30,553.0,2023-06-16
30,550.2,2023-06-16
30,542.8,2023-06-16
30,535.7,2023-06-16
30,531.8,2023-06-16
30,529.7,2023-06-16
29,527.5,2023-06-16
30,523.7,2023-06-16
30,518.5,2023-06-16
30,505.7,2023-06-16
30,504.4,2023-06-16
30,502.5,2023-06-16
30,498.8,2023-06-16
30,491.8,2023-06-16
30,487.4,2023-06-16
30,483.0,2023-06-16
30,482.3,2023-06-16
30,481.2,2023-06-16
29,479.6,2023-06-16
28,463.2,2023-06-16
28,461.8,2023-06-16
30,460.7,2023-06-16
30,458.1,2023-06-16
30,456.0,2023-06-16
30,456.0,2023-06-16
27,455.9,2023-06-16
29,449.6,2023-06-16
30,447.3,2023-06-16
30,446.1,2023-06-16
29,446.0,2023-06-16
30,434.2,2023-06-16
29,433.8,2023-06-16
29,427.2,2023-06-16
30,424.0,2023-06-16
30,422.5,2023-06-16
29,420.5,2023-06-16
28,418.1,2023-06-16
30,405.4,2023-06-16
30,396.9,2023-06-16
28,395.2,2023-06-16
28,394.7,2023-06-16
28,386.7,2023-06-16
29,384.3,2023-06-16
29,375.8,2023-06-16
30,373.6,2023-06-16
29,372.4,2023-06-16
29,371.5,2023-06-16
30,365.9,2023-06-16
29,358.6,2023-06-16
27,330.2,2023-06-16
25,311.9,2023-06-16
24,156.0,2023-06-16
