level,power,date
30,701.4,2023-07-03
30,695.8,2023-07-03
30,651.3,2023-07-03
30,646.7,2023-07-03
30,644.9,2023-07-03
30,632.9,2023-07-03
30,614.1,2023-07-03
30,598.4,2023-07-03
30,567.8,2023-07-03
30,552.7,2023-07-03
30,540.0,2023-07-03
30,532.5,2023-07-03
30,525.5,2023-07-03
29,514.1,2023-07-03
30,492.3,2023-07-03
30,490.8,2023-07-03
30,480.9,2023-07-03
28,476.8,2023-07-03
30,454.5,2023-07-03
30,453.6,2023-07-03
30,452.8,2023-07-03
27,440.0,2023-07-03
30,431.8,2023-07-03
30,416.6,2023-07-03
27,408.4,2023-07-03
27,405.8,2023-07-03
27,404.2,2023-07-03
28,401.4,2023-07-03
30,397.3,2023-07-03
26,382.9,2023-07-03
25,380.8,2023-07-03
30,372.7,2023-07-03
28,370.6,2023-07-03
27,365.8,2023-07-03
30,362.5,2023-07-03
25,345.6,2023-07-03
28,339.7,2023-07-03
26,336.1,2023-07-03
27,321.7,2023-07-03
29,319.1,2023-07-03
29,316.1,2023-07-03
29,309.1,2023-07-03
26,300.9,2023-07-03
25,300.5,2023-07-03
27,295.3,2023-07-03
26,293.4,2023-07-03
27,292.4,2023-07-03
28,247.2,2023-07-03
24,246.4,2023-07-03
25,246.0,2023-07-03
27,244.1,2023-07-03
26,239.3,2023-07-03
25,199.4,2023-07-03
25,181.6,2023-07-03
24,174.3,2023-07-03
25,153.1,2023-07-03
23,129.8,2023-07-03
24,123.0,2023-07-03
