level,power,date
32,945.6,2023-09-13
32,856.2,2023-09-13
32,843.1,2023-09-13
31,803.9,2023-09-13
32,802.9,2023-09-13
32,783.4,2023-09-13
32,783.3,2023-09-13
31,759.7,2023-09-13
31,752.7,2023-09-13
32,743.5,2023-09-13
32,742.0,2023-09-13
31,730.0,2023-09-13
32,721.0,2023-09-13
32,698.6,2023-09-13
31,691.3,2023-09-13
32,675.4,2023-09-13
32,670.5,2023-09-13
31,668.7,2023-09-13
31,652.2,2023-09-13
31,651.7,2023-09-13
31,650.4,2023-09-13
31,640.1,2023-09-13
31,611.4,2023-09-13
31,601.1,2023-09-13
31,592.5,2023-09-13
29,567.3,2023-09-13
30,563.1,2023-09-13
31,562.4,2023-09-13
30,554.9,2023-09-13
31,544.7,2023-09-13
31,544.2,2023-09-13
31,529.1,2023-09-13
30,520.2,2023-09-13
29,511.0,2023-09-13
29,500.1,2023-09-13
30,484.2,2023-09-13
30,480.7,2023-09-13
30,478.0,2023-09-13
30,471.0,2023-09-13
29,455.0,2023-09-13
28,453.8,2023-09-13
26,390.2,2023-09-13
29,383.0,2023-09-13
27,344.9,2023-09-13
28,333.9,2023-09-13
29,323.6,2023-09-13
30,313.5,2023-09-13
29,284.4,2023-09-13
25,211.3,2023-09-13
