level,power,date
30,784.1,2023-07-03
30,686.9,2023-07-03
30,674.9,2023-07-03
30,652.0,2023-07-03
30,641.3,2023-07-03
30,640.5,2023-07-03
30,630.5,2023-07-03
30,611.0,2023-07-03
30,582.3,2023-07-03
30,575.9,2023-07-03
30,571.5,2023-07-03
30,559.0,2023-07-03
30,556.6,2023-07-03
30,535.6,2023-07-03
30,534.3,2023-07-03
30,533.7,2023-07-03
30,530.3,2023-07-03
30,529.5,2023-07-03
30,528.4,2023-07-03
30,524.3,2023-07-03
30,513.7,2023-07-03
30,508.6,2023-07-03
30,501.5,2023-07-03
30,501.1,2023-07-03
30,496.9,2023-07-03
30,495.5,2023-07-03
30,488.4,2023-07-03
30,488.0,2023-07-03
30,479.6,2023-07-03
30,461.2,2023-07-03
30,457.4,2023-07-03
30,443.2,2023-07-03
30,441.8,2023-07-03
30,436.5,2023-07-03
28,425.3,2023-07-03
30,403.6,2023-07-03
28,395.5,2023-07-03
29,394.5,2023-07-03
29,388.2,2023-07-03
29,383.4,2023-07-03
29,381.3,2023-07-03
29,366.7,2023-07-03
29,356.2,2023-07-03
28,334.9,2023-07-03
26,331.8,2023-07-03
26,323.9,2023-07-03
28,317.8,2023-07-03
27,315.6,2023-07-03
29,310.2,2023-07-03
27,309.2,2023-07-03
26,279.7,2023-07-03
28,276.5,2023-07-03
25,275.6,2023-07-03
26,275.4,2023-07-03
24,273.6,2023-07-03
27,230.5,2023-07-03
28,223.3,2023-07-03
29,223.2,2023-07-03
25,173.5,2023-07-03
24,166.1,2023-07-03
21,126.3,2023-07-03
21,120.5,2023-07-03
17,37.2,2023-07-03
