level,power,date
30,626.8,2023-06-10
30,594.3,2023-06-10
30,579.0,2023-06-10
30,571.2,2023-06-10
30,524.5,2023-06-10
30,503.3,2023-06-10
28,482.9,2023-06-10
30,477.7,2023-06-10
30,473.2,2023-06-10
30,465.7,2023-06-10
30,455.5,2023-06-10
27,449.0,2023-06-10
30,448.7,2023-06-10
28,432.0,2023-06-10
30,426.2,2023-06-10
30,426.2,2023-06-10
29,409.8,2023-06-10
26,398.2,2023-06-10
29,396.4,2023-06-10
29,385.7,2023-06-10
27,378.2,2023-06-10
29,378.2,2023-06-10
29,377.3,2023-06-10
28,374.1,2023-06-10
29,372.7,2023-06-10
29,369.9,2023-06-10
27,363.3,2023-06-10
29,360.0,2023-06-10
29,359.8,2023-06-10
27,353.9,2023-06-10
26,346.5,2023-06-10
26,336.7,2023-06-10
28,333.3,2023-06-10
27,321.9,2023-06-10
27,321.8,2023-06-10
28,316.0,2023-06-10
26,312.2,2023-06-10
27,302.8,2023-06-10
28,302.3,2023-06-10
26,300.7,2023-06-10
24,295.2,2023-06-10
27,280.6,2023-06-10
28,274.4,2023-06-10
26,272.8,2023-06-10
26,270.6,2023-06-10
25,257.6,2023-06-10
25,255.0,2023-06-10
26,253.3,2023-06-10
26,225.6,2023-06-10
22,212.7,2023-06-10
26,200.0,2023-06-10
25,196.0,2023-06-10
26,193.3,2023-06-10
25,170.6,2023-06-10
25,129.5,2023-06-10
23,119.1,2023-06-10
21,111.0,2023-06-10
