level,power,date
30,504.3,2023-06-10
30,481.3,2023-06-10
30,431.2,2023-06-10
30,428.2,2023-06-10
29,409.4,2023-06-10
30,405.8,2023-06-10
29,392.4,2023-06-10
29,390.6,2023-06-10
27,370.8,2023-06-10
27,365.5,2023-06-10
29,357.8,2023-06-10
29,357.3,2023-06-10
29,338.9,2023-06-10
29,334.3,2023-06-10
27,324.5,2023-06-10
27,317.5,2023-06-10
27,313.3,2023-06-10
24,289.0,2023-06-10
27,288.9,2023-06-10
24,288.2,2023-06-10
29,285.3,2023-06-10
25,269.1,2023-06-10
25,259.5,2023-06-10
27,252.4,2023-06-10
25,250.0,2023-06-10
28,247.5,2023-06-10
26,241.8,2023-06-10
27,235.8,2023-06-10
23,179.3,2023-06-10
25,173.9,2023-06-10
24,168.6,2023-06-10
23,164.8,2023-06-10
22,152.5,2023-06-10
25,150.5,2023-06-10
23,125.9,2023-06-10
25,125.2,2023-06-10
22,120.0,2023-06-10
19,101.0,2023-06-10
21,98.4,2023-06-10
14,16.5,2023-06-10
