,level,power,date
0,30,597.6,2023-06-02
1,30,631.5,2023-06-02
2,30,572.4,2023-06-02
3,30,583.3,2023-06-02
4,30,614.7,2023-06-02
5,30,509.6,2023-06-02
6,29,487.7,2023-06-02
7,29,474.1,2023-06-02
8,29,388.0,2023-06-02
9,28,502.6,2023-06-02
10,30,513.9,2023-06-02
11,28,372.4,2023-06-02
12,30,381.7,2023-06-02
13,30,414.1,2023-06-02
14,30,453.1,2023-06-02
15,29,450.6,2023-06-02
16,29,295.1,2023-06-02
17,30,398.6,2023-06-02
18,30,606.3,2023-06-02
19,29,443.5,2023-06-02
20,30,464.3,2023-06-02
21,30,442.0,2023-06-02
22,29,378.8,2023-06-02
23,30,641.8,2023-06-02
24,30,432.2,2023-06-02
25,28,299.3,2023-06-02
26,30,399.2,2023-06-02
27,18,51.0,2023-06-02
28,29,339.6,2023-06-02
29,28,328.1,2023-06-02
30,30,352.4,2023-06-02
31,25,330.2,2023-06-02
32,29,398.2,2023-06-02
33,30,403.1,2023-06-02
34,30,426.2,2023-06-02
35,30,364.0,2023-06-02
36,25,7.0,2023-06-02
37,25,126.2,2023-06-02
38,30,452.0,2023-06-02
39,30,424.2,2023-06-02
40,24,290.7,2023-06-02
41,28,321.3,2023-06-02
42,23,204.0,2023-06-02
43,29,357.4,2023-06-02
44,30,455.9,2023-06-02
45,30,486.5,2023-06-02
46,29,368.6,2023-06-02
47,30,367.2,2023-06-02
48,30,479.8,2023-06-02
49,30,452.2,2023-06-02
50,28,282.5,2023-06-02
51,27,356.0,2023-06-02
52,27,243.7,2023-06-02
53,29,299.7,2023-06-02
54,30,448.1,2023-06-02
55,27,188.2,2023-06-02
56,30,381.8,2023-06-02
