,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,30,674.9,2023-05-21
1,1,1,1,1,1,1,1,1,1,1,1,30,574.0,2023-05-21
2,2,2,2,2,2,2,2,2,2,2,2,30,529.1,2023-05-21
3,3,3,3,3,3,3,3,3,3,3,3,28,373.6,2023-05-21
4,4,4,4,4,4,4,4,4,4,4,4,30,502.4,2023-05-21
5,5,5,5,5,5,5,5,5,5,5,5,30,663.0,2023-05-21
6,6,6,6,6,6,6,6,6,6,6,6,30,585.8,2023-05-21
7,7,7,7,7,7,7,7,7,7,7,7,30,577.4,2023-05-21
8,8,8,8,8,8,8,8,8,8,8,8,30,557.8,2023-05-21
9,9,9,9,9,9,9,9,9,9,9,9,30,490.1,2023-05-21
10,10,10,10,10,10,10,10,10,10,10,10,30,473.6,2023-05-21
11,11,11,11,11,11,11,11,11,11,11,11,30,469.8,2023-05-21
12,12,12,12,12,12,12,12,12,12,12,12,29,405.9,2023-05-21
13,13,13,13,13,13,13,13,13,13,13,13,28,420.1,2023-05-21
14,14,14,14,14,14,14,14,14,14,14,14,30,473.5,2023-05-21
15,15,15,15,15,15,15,15,15,15,15,15,28,374.6,2023-05-21
16,16,16,16,16,16,16,16,16,16,16,16,30,633.6,2023-05-21
17,17,17,17,17,17,17,17,17,17,17,17,30,809.1,2023-05-21
18,18,18,18,18,18,18,18,18,18,18,18,30,703.0,2023-05-21
19,19,19,19,19,19,19,19,19,19,19,19,30,742.6,2023-05-21
20,20,20,20,20,20,20,20,20,20,20,20,30,556.9,2023-05-21
21,21,21,21,21,21,21,21,21,21,21,21,30,395.3,2023-05-21
22,22,22,22,22,22,22,22,22,22,22,22,30,480.0,2023-05-21
23,23,23,23,23,23,23,23,23,23,23,23,29,368.7,2023-05-21
24,24,24,24,24,24,24,24,24,24,24,24,30,611.4,2023-05-21
25,25,25,25,25,25,25,25,25,25,25,25,30,540.2,2023-05-21
26,26,26,26,26,26,26,26,26,26,26,26,25,366.8,2023-05-21
27,27,27,27,27,27,27,27,27,27,27,27,30,520.9,2023-05-21
28,28,28,28,28,28,28,28,28,28,28,28,28,430.8,2023-05-21
29,29,29,29,29,29,29,29,29,29,29,29,30,451.0,2023-05-21
30,30,30,30,30,30,30,30,30,30,30,30,30,614.6,2023-05-21
31,31,31,31,31,31,31,31,31,31,31,31,26,313.9,2023-05-21
32,32,32,32,32,32,32,32,32,32,32,32,27,387.2,2023-05-21
33,33,33,33,33,33,33,33,33,33,33,33,24,217.5,2023-05-21
34,34,34,34,34,34,34,34,34,34,34,34,30,502.9,2023-05-21
35,35,35,35,35,35,35,35,35,35,35,35,30,625.2,2023-05-21
36,36,36,36,36,36,36,36,36,36,36,36,29,467.8,2023-05-21
37,37,37,37,37,37,37,37,37,37,37,37,29,488.6,2023-05-21
38,38,38,38,38,38,38,38,38,38,38,38,29,361.4,2023-05-21
39,39,39,39,39,39,39,39,39,39,39,39,28,299.9,2023-05-21
40,40,40,40,40,40,40,40,40,40,40,40,28,428.8,2023-05-21
41,41,41,41,41,41,41,41,41,41,41,41,29,425.7,2023-05-21
42,42,42,42,42,42,42,42,42,42,42,42,26,303.2,2023-05-21
43,43,43,43,43,43,43,43,43,43,43,43,27,340.5,2023-05-21
44,44,44,44,44,44,44,44,44,44,44,44,30,436.2,2023-05-21
45,45,45,45,45,45,45,45,45,45,45,45,27,255.0,2023-05-21
46,46,46,46,46,46,46,46,46,46,46,46,25,188.0,2023-05-21
47,47,47,47,47,47,47,47,47,47,47,47,26,316.6,2023-05-21
48,48,48,48,48,48,48,48,48,48,48,48,30,487.2,2023-05-21
49,49,49,49,49,49,49,49,49,49,49,49,26,184.9,2023-05-21
50,50,50,50,50,50,50,50,50,50,50,50,27,313.0,2023-05-21
51,51,51,51,51,51,51,51,51,51,51,51,27,346.4,2023-05-21
52,52,52,52,52,52,52,52,52,52,52,52,27,309.2,2023-05-21
53,53,53,53,53,53,53,53,53,53,53,53,29,315.3,2023-05-21
54,54,54,54,54,54,54,54,54,54,54,54,26,176.0,2023-05-21
55,55,55,55,55,55,55,55,55,55,55,55,30,358.6,2023-05-21
56,56,56,56,56,56,56,56,56,56,56,56,25,393.1,2023-05-21
57,57,57,57,57,57,57,57,57,57,57,57,30,302.9,2023-05-21
58,58,58,58,58,58,58,58,58,58,58,58,29,318.8,2023-05-21
59,59,59,59,59,59,59,59,59,59,59,59,29,350.2,2023-05-21
60,60,60,60,60,60,60,60,60,60,60,60,29,369.9,2023-05-21
61,61,61,61,61,61,61,61,61,61,61,61,29,365.0,2023-05-21
