level,power,date
30,696.5,2023-07-03
30,687.0,2023-07-03
30,625.9,2023-07-03
30,561.9,2023-07-03
30,555.5,2023-07-03
30,534.3,2023-07-03
30,511.1,2023-07-03
30,509.3,2023-07-03
30,495.3,2023-07-03
30,477.9,2023-07-03
30,472.2,2023-07-03
29,458.4,2023-07-03
30,457.3,2023-07-03
29,456.3,2023-07-03
30,454.1,2023-07-03
30,453.7,2023-07-03
30,443.2,2023-07-03
29,442.8,2023-07-03
29,434.1,2023-07-03
29,427.0,2023-07-03
30,417.4,2023-07-03
27,409.2,2023-07-03
29,403.9,2023-07-03
30,379.8,2023-07-03
26,372.4,2023-07-03
29,371.1,2023-07-03
30,370.6,2023-07-03
26,364.7,2023-07-03
27,361.5,2023-07-03
29,359.8,2023-07-03
28,356.2,2023-07-03
27,354.3,2023-07-03
27,352.7,2023-07-03
27,347.9,2023-07-03
30,341.9,2023-07-03
27,341.4,2023-07-03
28,332.9,2023-07-03
28,329.4,2023-07-03
29,329.0,2023-07-03
29,323.0,2023-07-03
28,310.5,2023-07-03
27,309.5,2023-07-03
24,307.5,2023-07-03
28,305.7,2023-07-03
27,305.2,2023-07-03
27,302.6,2023-07-03
27,298.2,2023-07-03
29,295.6,2023-07-03
28,287.4,2023-07-03
25,285.4,2023-07-03
28,285.3,2023-07-03
25,283.9,2023-07-03
27,269.9,2023-07-03
26,265.4,2023-07-03
25,260.8,2023-07-03
25,256.3,2023-07-03
27,221.6,2023-07-03
24,217.9,2023-07-03
23,210.1,2023-07-03
24,198.5,2023-07-03
21,151.4,2023-07-03
24,150.6,2023-07-03
22,127.7,2023-07-03
22,124.0,2023-07-03
21,93.0,2023-07-03
20,80.2,2023-07-03
