level,power,date
30,555.7,2023-07-08
30,502.3,2023-07-08
30,459.0,2023-07-08
29,447.6,2023-07-08
29,431.4,2023-07-08
30,423.1,2023-07-08
28,411.8,2023-07-08
27,403.5,2023-07-08
28,399.6,2023-07-08
29,387.4,2023-07-08
28,360.5,2023-07-08
27,357.0,2023-07-08
27,351.5,2023-07-08
27,329.3,2023-07-08
27,322.9,2023-07-08
28,315.6,2023-07-08
27,308.5,2023-07-08
27,307.4,2023-07-08
26,277.8,2023-07-08
27,274.7,2023-07-08
26,241.1,2023-07-08
25,220.3,2023-07-08
25,216.6,2023-07-08
25,208.1,2023-07-08
26,196.3,2023-07-08
24,192.1,2023-07-08
24,190.3,2023-07-08
21,173.4,2023-07-08
24,167.2,2023-07-08
23,148.2,2023-07-08
24,137.9,2023-07-08
21,134.5,2023-07-08
22,122.5,2023-07-08
21,119.1,2023-07-08
23,88.2,2023-07-08
20,73.2,2023-07-08
19,68.0,2023-07-08
18,62.4,2023-07-08
17,58.5,2023-07-08
18,58.0,2023-07-08
14,37.4,2023-07-08
14,22.1,2023-07-08
8,18.8,2023-07-08
11,16.6,2023-07-08
7,7.3,2023-07-08
8,6.9,2023-07-08
