level,power,date
27,524.8,2023-09-20
30,506.3,2023-09-20
27,485.9,2023-09-20
30,484.3,2023-09-20
29,449.6,2023-09-20
29,438.5,2023-09-20
27,435.9,2023-09-20
27,415.1,2023-09-20
30,414.6,2023-09-20
29,405.8,2023-09-20
28,396.0,2023-09-20
29,378.9,2023-09-20
27,369.2,2023-09-20
28,365.6,2023-09-20
26,363.3,2023-09-20
29,363.1,2023-09-20
27,337.1,2023-09-20
26,317.8,2023-09-20
26,304.6,2023-09-20
28,283.7,2023-09-20
25,280.7,2023-09-20
28,278.8,2023-09-20
25,250.1,2023-09-20
25,187.6,2023-09-20
25,181.3,2023-09-20
25,167.8,2023-09-20
22,165.3,2023-09-20
22,154.9,2023-09-20
23,152.6,2023-09-20
23,147.9,2023-09-20
20,143.6,2023-09-20
22,136.0,2023-09-20
22,129.0,2023-09-20
20,124.8,2023-09-20
19,122.9,2023-09-20
22,117.7,2023-09-20
22,117.0,2023-09-20
22,111.2,2023-09-20
21,87.5,2023-09-20
21,83.2,2023-09-20
20,81.4,2023-09-20
21,66.5,2023-09-20
18,63.7,2023-09-20
18,62.2,2023-09-20
19,58.2,2023-09-20
19,53.7,2023-09-20
18,53.7,2023-09-20
18,49.5,2023-09-20
18,44.8,2023-09-20
16,42.8,2023-09-20
15,41.0,2023-09-20
18,40.7,2023-09-20
15,27.3,2023-09-20
11,15.2,2023-09-20
