level,power,date
30,671.4,2023-06-23
30,621.7,2023-06-23
30,554.1,2023-06-23
30,549.2,2023-06-23
30,509.7,2023-06-23
30,509.7,2023-06-23
30,504.4,2023-06-23
30,501.6,2023-06-23
30,497.2,2023-06-23
30,490.5,2023-06-23
30,487.5,2023-06-23
30,477.9,2023-06-23
30,458.7,2023-06-23
30,450.7,2023-06-23
30,447.6,2023-06-23
29,442.2,2023-06-23
30,441.6,2023-06-23
30,439.8,2023-06-23
29,437.5,2023-06-23
30,433.4,2023-06-23
30,428.3,2023-06-23
29,421.5,2023-06-23
30,420.3,2023-06-23
29,416.9,2023-06-23
28,410.9,2023-06-23
30,409.2,2023-06-23
28,398.0,2023-06-23
30,389.0,2023-06-23
28,387.0,2023-06-23
27,385.0,2023-06-23
27,382.4,2023-06-23
30,377.4,2023-06-23
25,376.2,2023-06-23
27,368.1,2023-06-23
29,360.0,2023-06-23
27,358.6,2023-06-23
27,357.7,2023-06-23
28,352.4,2023-06-23
28,350.3,2023-06-23
28,350.2,2023-06-23
27,346.0,2023-06-23
27,334.5,2023-06-23
29,332.3,2023-06-23
27,331.5,2023-06-23
28,329.3,2023-06-23
27,324.6,2023-06-23
28,323.3,2023-06-23
27,319.3,2023-06-23
27,302.5,2023-06-23
27,300.2,2023-06-23
24,296.8,2023-06-23
28,283.7,2023-06-23
25,282.0,2023-06-23
29,280.3,2023-06-23
25,277.9,2023-06-23
28,276.9,2023-06-23
25,276.4,2023-06-23
26,260.7,2023-06-23
24,256.9,2023-06-23
25,252.1,2023-06-23
26,239.8,2023-06-23
27,229.8,2023-06-23
24,215.3,2023-06-23
25,215.3,2023-06-23
24,208.9,2023-06-23
21,182.7,2023-06-23
25,167.9,2023-06-23
26,154.4,2023-06-23
21,143.5,2023-06-23
21,129.4,2023-06-23
