level,power,date
30,664.2,2023-07-08
30,650.6,2023-07-08
30,532.6,2023-07-08
30,507.5,2023-07-08
30,496.8,2023-07-08
30,424.4,2023-07-08
29,400.5,2023-07-08
30,391.7,2023-07-08
28,352.9,2023-07-08
26,348.3,2023-07-08
29,336.6,2023-07-08
29,275.7,2023-07-08
27,268.2,2023-07-08
26,258.3,2023-07-08
27,251.5,2023-07-08
25,202.6,2023-07-08
25,183.7,2023-07-08
24,167.9,2023-07-08
25,157.7,2023-07-08
24,150.7,2023-07-08
24,148.4,2023-07-08
23,145.7,2023-07-08
23,126.8,2023-07-08
23,92.0,2023-07-08
20,82.6,2023-07-08
21,70.8,2023-07-08
19,60.9,2023-07-08
19,48.4,2023-07-08
