level,power,date
30,696.3,2023-06-16
30,646.7,2023-06-16
30,646.0,2023-06-16
30,633.8,2023-06-16
30,621.7,2023-06-16
30,617.0,2023-06-16
30,576.0,2023-06-16
30,523.8,2023-06-16
30,519.1,2023-06-16
30,518.3,2023-06-16
30,516.8,2023-06-16
30,502.9,2023-06-16
30,488.6,2023-06-16
30,483.6,2023-06-16
30,483.1,2023-06-16
30,479.6,2023-06-16
30,476.8,2023-06-16
30,459.4,2023-06-16
30,459.4,2023-06-16
29,456.2,2023-06-16
30,443.4,2023-06-16
30,440.6,2023-06-16
30,438.8,2023-06-16
30,426.4,2023-06-16
30,420.8,2023-06-16
30,407.7,2023-06-16
29,407.4,2023-06-16
30,406.5,2023-06-16
30,401.2,2023-06-16
27,389.6,2023-06-16
26,386.7,2023-06-16
29,379.6,2023-06-16
27,378.6,2023-06-16
30,377.6,2023-06-16
29,371.6,2023-06-16
28,366.7,2023-06-16
29,365.0,2023-06-16
29,353.6,2023-06-16
28,349.9,2023-06-16
30,343.5,2023-06-16
30,340.9,2023-06-16
27,339.8,2023-06-16
27,334.2,2023-06-16
30,330.4,2023-06-16
27,328.5,2023-06-16
29,328.0,2023-06-16
29,325.0,2023-06-16
27,317.2,2023-06-16
29,315.3,2023-06-16
26,314.1,2023-06-16
26,310.9,2023-06-16
29,310.1,2023-06-16
28,307.6,2023-06-16
29,297.8,2023-06-16
28,280.8,2023-06-16
26,279.1,2023-06-16
26,278.8,2023-06-16
27,273.2,2023-06-16
29,272.7,2023-06-16
28,268.9,2023-06-16
26,249.7,2023-06-16
25,242.5,2023-06-16
26,230.1,2023-06-16
26,215.2,2023-06-16
24,181.9,2023-06-16
22,136.8,2023-06-16
21,109.3,2023-06-16
18,60.0,2023-06-16
