level,power,date
30,686.3,2023-07-03
30,536.2,2023-07-03
30,528.8,2023-07-03
27,397.3,2023-07-03
30,327.6,2023-07-03
28,312.0,2023-07-03
28,303.4,2023-07-03
29,296.8,2023-07-03
28,287.5,2023-07-03
27,281.3,2023-07-03
26,281.1,2023-07-03
27,266.2,2023-07-03
28,259.3,2023-07-03
26,250.7,2023-07-03
27,249.3,2023-07-03
27,246.7,2023-07-03
27,244.3,2023-07-03
24,227.3,2023-07-03
26,221.4,2023-07-03
24,214.0,2023-07-03
27,212.7,2023-07-03
26,212.2,2023-07-03
25,209.6,2023-07-03
26,209.0,2023-07-03
26,205.1,2023-07-03
26,204.6,2023-07-03
26,201.2,2023-07-03
26,196.6,2023-07-03
26,196.2,2023-07-03
24,195.6,2023-07-03
27,193.5,2023-07-03
26,190.7,2023-07-03
26,183.8,2023-07-03
26,175.4,2023-07-03
24,174.5,2023-07-03
23,169.7,2023-07-03
25,159.5,2023-07-03
26,157.8,2023-07-03
24,155.6,2023-07-03
23,131.6,2023-07-03
24,119.4,2023-07-03
19,115.6,2023-07-03
22,114.6,2023-07-03
21,88.3,2023-07-03
22,67.9,2023-07-03
