level,power,date
30,541.3,2023-06-03
30,682.4,2023-06-03
30,687.6,2023-06-03
30,610.3,2023-06-03
30,684.9,2023-06-03
30,653.5,2023-06-03
30,599.0,2023-06-03
30,501.5,2023-06-03
30,500.2,2023-06-03
30,441.6,2023-06-03
29,358.7,2023-06-03
28,388.0,2023-06-03
28,306.9,2023-06-03
26,344.3,2023-06-03
30,451.5,2023-06-03
30,433.7,2023-06-03
30,639.0,2023-06-03
29,445.8,2023-06-03
30,504.5,2023-06-03
30,457.0,2023-06-03
30,597.9,2023-06-03
30,556.3,2023-06-03
30,484.0,2023-06-03
30,539.0,2023-06-03
30,638.1,2023-06-03
30,610.0,2023-06-03
30,644.0,2023-06-03
30,568.6,2023-06-03
30,564.8,2023-06-03
30,524.7,2023-06-03
30,393.5,2023-06-03
30,500.4,2023-06-03
25,177.7,2023-06-03
30,531.8,2023-06-03
30,395.5,2023-06-03
30,676.3,2023-06-03
25,348.5,2023-06-03
28,236.1,2023-06-03
26,365.0,2023-06-03
28,399.1,2023-06-03
30,449.1,2023-06-03
28,394.8,2023-06-03
30,457.8,2023-06-03
27,416.6,2023-06-03
30,446.2,2023-06-03
30,359.4,2023-06-03
28,276.8,2023-06-03
30,631.3,2023-06-03
28,348.7,2023-06-03
28,304.7,2023-06-03
21,121.2,2023-06-03
29,341.1,2023-06-03
30,497.8,2023-06-03
30,388.0,2023-06-03
30,565.4,2023-06-03
30,492.6,2023-06-03
28,271.2,2023-06-03
29,416.7,2023-06-03
29,387.2,2023-06-03
