level,power,date
31,700.4,2023-10-08
32,697.0,2023-10-08
30,684.6,2023-10-08
30,679.7,2023-10-08
32,671.0,2023-10-08
31,669.8,2023-10-08
32,667.5,2023-10-08
32,662.5,2023-10-08
31,662.0,2023-10-08
32,659.0,2023-10-08
32,638.8,2023-10-08
30,620.3,2023-10-08
31,615.7,2023-10-08
31,603.2,2023-10-08
32,592.1,2023-10-08
30,589.0,2023-10-08
31,569.2,2023-10-08
30,559.6,2023-10-08
31,535.2,2023-10-08
30,534.3,2023-10-08
30,534.1,2023-10-08
31,532.2,2023-10-08
30,526.1,2023-10-08
30,512.2,2023-10-08
30,510.3,2023-10-08
31,509.7,2023-10-08
30,506.1,2023-10-08
30,496.6,2023-10-08
31,492.1,2023-10-08
31,489.7,2023-10-08
30,456.5,2023-10-08
29,439.7,2023-10-08
31,439.3,2023-10-08
30,435.8,2023-10-08
27,434.9,2023-10-08
29,418.9,2023-10-08
30,414.2,2023-10-08
28,410.0,2023-10-08
30,408.1,2023-10-08
29,397.4,2023-10-08
30,391.7,2023-10-08
29,378.2,2023-10-08
28,375.4,2023-10-08
29,366.2,2023-10-08
28,359.7,2023-10-08
27,358.6,2023-10-08
27,351.2,2023-10-08
28,335.2,2023-10-08
27,323.8,2023-10-08
28,287.9,2023-10-08
29,275.2,2023-10-08
28,265.8,2023-10-08
28,261.8,2023-10-08
28,259.3,2023-10-08
27,252.2,2023-10-08
