level,power,date
28,378.6,2023-07-05
26,329.8,2023-07-05
26,321.6,2023-07-05
24,320.8,2023-07-05
24,311.1,2023-07-05
25,307.0,2023-07-05
24,291.5,2023-07-05
25,249.6,2023-07-05
24,241.2,2023-07-05
23,229.6,2023-07-05
26,226.3,2023-07-05
24,225.0,2023-07-05
26,221.8,2023-07-05
22,216.4,2023-07-05
23,212.2,2023-07-05
24,189.1,2023-07-05
25,188.8,2023-07-05
22,177.7,2023-07-05
24,174.0,2023-07-05
23,173.1,2023-07-05
21,165.1,2023-07-05
21,163.5,2023-07-05
23,161.9,2023-07-05
22,160.3,2023-07-05
25,157.6,2023-07-05
22,157.0,2023-07-05
23,151.5,2023-07-05
21,150.6,2023-07-05
21,148.0,2023-07-05
20,148.0,2023-07-05
21,136.6,2023-07-05
21,136.1,2023-07-05
23,130.3,2023-07-05
22,127.5,2023-07-05
23,119.4,2023-07-05
21,119.3,2023-07-05
22,118.6,2023-07-05
22,117.9,2023-07-05
22,116.0,2023-07-05
22,115.9,2023-07-05
22,113.6,2023-07-05
21,113.0,2023-07-05
20,112.9,2023-07-05
20,112.5,2023-07-05
21,108.9,2023-07-05
21,106.9,2023-07-05
19,106.6,2023-07-05
19,104.0,2023-07-05
22,101.8,2023-07-05
21,99.4,2023-07-05
22,91.2,2023-07-05
18,73.0,2023-07-05
20,62.1,2023-07-05
19,61.1,2023-07-05
14,56.5,2023-07-05
18,47.3,2023-07-05
11,19.3,2023-07-05
