level,power,date
33,1120.0,2023-10-25
32,981.6,2023-10-25
32,787.3,2023-10-25
32,752.0,2023-10-25
32,745.4,2023-10-25
31,740.4,2023-10-25
32,738.5,2023-10-25
32,716.7,2023-10-25
32,716.3,2023-10-25
32,681.8,2023-10-25
30,644.6,2023-10-25
31,638.6,2023-10-25
31,624.0,2023-10-25
30,618.5,2023-10-25
30,606.2,2023-10-25
32,594.1,2023-10-25
31,593.4,2023-10-25
31,573.2,2023-10-25
31,564.7,2023-10-25
32,549.4,2023-10-25
31,549.3,2023-10-25
31,547.2,2023-10-25
30,546.2,2023-10-25
30,540.3,2023-10-25
29,537.9,2023-10-25
30,525.2,2023-10-25
28,521.7,2023-10-25
32,514.7,2023-10-25
30,513.0,2023-10-25
31,497.0,2023-10-25
30,491.7,2023-10-25
30,468.9,2023-10-25
28,465.7,2023-10-25
30,438.6,2023-10-25
30,383.9,2023-10-25
29,342.2,2023-10-25
27,339.0,2023-10-25
28,334.1,2023-10-25
26,303.9,2023-10-25
30,298.9,2023-10-25
29,297.1,2023-10-25
27,275.8,2023-10-25
28,262.5,2023-10-25
29,254.6,2023-10-25
28,253.9,2023-10-25
28,191.0,2023-10-25
24,138.3,2023-10-25
22,73.5,2023-10-25
