level,power,date
30,545.7,2023-10-08
30,479.7,2023-10-08
30,472.5,2023-10-08
29,458.4,2023-10-08
30,449.7,2023-10-08
27,433.4,2023-10-08
30,432.9,2023-10-08
27,427.4,2023-10-08
29,421.6,2023-10-08
30,417.8,2023-10-08
30,410.6,2023-10-08
27,395.8,2023-10-08
27,390.4,2023-10-08
26,385.5,2023-10-08
30,376.5,2023-10-08
27,368.2,2023-10-08
27,354.4,2023-10-08
27,349.0,2023-10-08
28,339.8,2023-10-08
29,335.1,2023-10-08
27,328.6,2023-10-08
28,319.7,2023-10-08
27,318.2,2023-10-08
24,314.2,2023-10-08
25,312.3,2023-10-08
27,309.5,2023-10-08
26,280.2,2023-10-08
25,279.4,2023-10-08
27,271.6,2023-10-08
27,266.1,2023-10-08
26,233.0,2023-10-08
23,231.0,2023-10-08
21,210.2,2023-10-08
29,194.8,2023-10-08
23,130.7,2023-10-08
